country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Korea,2018,Ministry of Science and ICT (Korea),rd_ministry,,,,,,,,gap: no matching rows in this year
Korea,2019,Ministry of Science and ICT (Korea),rd_ministry,,,,,,,,dropped after Korea source audit: surviving match was a noisy fragment or non-comparable summary row
Korea,2021,Ministry of Science and ICT (Korea),rd_ministry,,,,,,,,dropped after Korea source audit: surviving match was a noisy fragment or non-comparable summary row
Korea,2022,Ministry of Science and ICT (Korea),rd_ministry,9626200000.0,thousand,KRW,verified_override,Verified MSIT / science-technology-communication budget total from original Korea budget brief,3. 2022년 예산안.pdf,101.0,manual override from original Korea budget brief (MSIT total)
Korea,2023,Ministry of Science and ICT (Korea),rd_ministry,9977500000.0,thousand,KRW,verified_override,Verified MSIT / science-technology-communication budget total from original Korea budget brief,2. 2023년 예산안 홍보자료★.pdf,60.0,manual override from original Korea budget brief (MSIT total)
Korea,2024,Ministry of Science and ICT (Korea),rd_ministry,9076800000.0,thousand,KRW,verified_override,Verified MSIT / science-technology-communication budget total from original Korea budget brief,2. 2024년  예산안 홍보자료.pdf,55.0,manual override from original Korea budget brief (MSIT total)
Korea,2025,Ministry of Science and ICT (Korea),rd_ministry,10911200000.0,thousand,KRW,verified_override,Verified MSIT / science-technology-communication budget total from original Korea budget brief,2. 2025 예산안 홍보자료.pdf,51.0,manual override from original Korea budget brief (MSIT total)
Korea,2018,National R&D Programmes (Korea),innovation_instruments,19633800000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,2018년도 예산안 개요.pdf,55.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2019,National R&D Programmes (Korea),innovation_instruments,20400000000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,2019년도 예산안 개요.pdf,6.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2021,National R&D Programmes (Korea),innovation_instruments,27400000000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,7. 2021-2025년 국가재정운용계획 주요내용.pdf,17.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2022,National R&D Programmes (Korea),innovation_instruments,29800000000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,3. 2022년 예산안.pdf,8.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2023,National R&D Programmes (Korea),innovation_instruments,30700000000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,2. 2023년 예산안 홍보자료★.pdf,9.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2024,National R&D Programmes (Korea),innovation_instruments,25900000000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,2. 2024년  예산안 홍보자료.pdf,7.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2025,National R&D Programmes (Korea),innovation_instruments,29700000000.0,thousand,KRW,verified_override,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,2. 2025 예산안 홍보자료.pdf,6.0,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
Korea,2018,Strategic Technology R&D Programmes (Korea),innovation_instruments,1400000000.0,thousand,KRW,verified_override,Verified strategic-technology R&D subtotal from original Korea budget brief,2018년도 예산안 개요.pdf,28.0,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
Korea,2019,Strategic Technology R&D Programmes (Korea),innovation_instruments,1513700000.0,thousand,KRW,verified_override,Verified strategic-technology R&D subtotal from original Korea budget brief,2019년도 예산안 개요.pdf,27.0,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
Korea,2021,Strategic Technology R&D Programmes (Korea),innovation_instruments,,,,,,,,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; dropped after Korea source audit: surviving match was a noisy fragment or non-comparable summary row
Korea,2022,Strategic Technology R&D Programmes (Korea),innovation_instruments,6200000000.0,thousand,KRW,verified_override,Verified strategic-technology R&D subtotal from original Korea budget brief,3. 2022년 예산안.pdf,49.0,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
Korea,2023,Strategic Technology R&D Programmes (Korea),innovation_instruments,4512300000.0,thousand,KRW,verified_override,Verified strategic-technology R&D subtotal from original Korea budget brief,2. 2023년 예산안 홍보자료★.pdf,33.0,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
Korea,2024,Strategic Technology R&D Programmes (Korea),innovation_instruments,5000000000.0,thousand,KRW,verified_override,Verified strategic-technology R&D subtotal from original Korea budget brief,2. 2024년  예산안 홍보자료.pdf,19.0,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
Korea,2025,Strategic Technology R&D Programmes (Korea),innovation_instruments,3544600000.0,thousand,KRW,verified_override,Verified strategic-technology R&D subtotal from original Korea budget brief,2. 2025 예산안 홍보자료.pdf,20.0,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
