reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end
CAN_1994_002,CAN,Canada,1994,1991.0,,,,,,,,explicit,high,innovation,human_capital,other,,public_private,applied,growth_supporting,"By enhancing private sector involvement in training, the initiative aims to improve workforce skills and employability, contributing to economic growth.",high,Labour Market Development Package,Labour Force Development Board,True,implemented,The board has been actively functioning since its establishment.,high,False,2,The establishment of the board represents a significant but narrower reform focused on training and development.,medium,"The Labour Force Development Board was created in 1991 to enhance private sector involvement in UI-sponsored training and developmental programmes, reflecting a significant policy shift towards active labour market measures.",The Labour Force Development Board was created in 1991 to provide a mechanism for private sector involvement in UI-sponsored training and other developmental programmes.,75.0,75.0
CAN_1992_001,CAN,Canada,1992,1992.0,,,,,,,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"By investing in training for the unemployed, the reform aims to enhance the skills of the workforce, thereby supporting economic growth.",high,Unemployment Insurance Reform,Unemployment Insurance Reform,False,implemented,The reform has been put into effect as indicated by its implementation status.,high,True,3,"The reform represents a significant structural change in the unemployment insurance system, focusing on skill development.",medium,"The reform of the unemployment-insurance system has directed more funds towards training for the unemployed, while reducing the generosity of the system by reducing the maximum duration of benefits and increasing the minimum period of work required to qualify for benefits.","Under the Labour Force Development Strategy, funding for training was raised from C$ 0.5 billion in 1990 to C$ 2 billion in 1992.",78.0,78.0
CAN_1992_002,CAN,Canada,1992,1992.0,,,,,,,,explicit,high,innovation,knowledge_transfer,,,public_private,applied,growth_supporting,"By fostering collaboration between academia and industry, the initiative aims to enhance R&D outcomes and drive innovation.",high,Centres for Excellence Initiative,Centres for Excellence,False,implemented,The initiative has been established and is operational as indicated by its implementation status.,high,False,2,The initiative represents a significant effort to enhance R&D collaboration but does not constitute a major overhaul of the system.,medium,"The Canadian Government has initiated the establishment of Centres for Excellence to link top researchers from universities with major corporations, aiming to improve the effectiveness of existing R&D support.","The Government has initiated a number of programmes to address these problems. Among these is the establishment of the Centres for Excellence, which link up top researchers of universities and major corporations.",,
CAN_1993_001,CAN,Canada,1993,1992.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,public,applied,growth_supporting,"The initiative aims to enhance competitiveness, which is expected to support economic growth.",high,Prosperity Initiative,Consultation Process,True,implemented,The initiative has been launched and is in effect.,high,False,2,The initiative represents a significant effort to reform and improve economic competitiveness.,medium,The Prosperity Initiative was launched as a consultation process aimed at identifying and building consensus around structural reforms to enhance the competitiveness of the Canadian economy.,"In 1992 the authorities launched the Prosperity Initiative, a consultation process to help identify, and build a consensus around, further structural reforms needed to improve the competitiveness of the economy.",55.0,55.0
CAN_1993_002,CAN,Canada,1993,1993.0,1992.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,private,applied,growth_supporting,Increased funding for R&D is expected to boost innovation and economic growth in the private sector.,high,R&D Support Enhancement,Funding and Access Streamlining,True,implemented,The government has successfully increased support and streamlined access.,high,False,2,The increase in funding and improved access to R&D programmes represent significant enhancements to support for innovation.,medium,"The Canadian government increased support for R&D by providing additional funding to Canadian corporations undertaking research and development, while also streamlining access to R&D programmes and services.","In its December 1992 Economic and Fiscal Statement, and again in the April 1993 Budget, the Government provided additional support to Canadian corporations undertaking R&D.",56.0,56.0
CAN_1994_001,CAN,Canada,1994,1994.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"These initiatives are designed to enhance innovation and support small businesses, which are expected to contribute positively to economic growth.",high,Innovation and Employment Support Package,Innovation Initiatives,True,implemented,The measures have been actively put into practice as part of the government's initiatives.,high,True,3,The reforms represent a significant overhaul of the unemployment insurance system and a strong push towards innovation and job training.,medium,"The Government is implementing initiatives to promote innovative activities in Canada, including support for the development of environmental technologies, reforming the unemployment-insurance system, enhancing job training, supporting small businesses, and promoting technological innovation.","The new Government has taken measures to reform the unemployment-insurance system, enhance job training, support small businesses, and promote technological innovation.",,
CAN_2001_004,CAN,Canada,2001,1994.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"Creating partnerships and networks for R&D spending enhances collaboration and innovation, which can drive economic growth.",high,Science and Technology Strategy,,False,implemented,The strategy has been launched and is in effect.,high,True,3,The strategy represents a significant shift in how the government approaches R&D funding and collaboration.,high,"The federal government launched a new Science and Technology Strategy aimed at repositioning its policies to create partnerships and networks for R&D spending, with the goal of improving Canada's R&D performance.","In 1994, the government had launched a wholesale policy review and repositioned its policies in a new Science and Technology Strategy.",,
CAN_1995_001,CAN,Canada,1995,1995.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"The reforms aim to stimulate R&D spending and enhance industrial performance, which are expected to raise productivity and innovation.",high,Innovation Performance Enhancement,Tax Credits and Grants,True,implemented,The Canadian government has implemented tax credits and grants as primary instruments.,high,True,3,The implementation of tax credits and grants as well as a coherent strategy for innovation represents a significant structural change in the innovation policy landscape.,high,"The Canadian government has implemented tax credits and grants as primary instruments to encourage private sector R&D spending, aiming to stimulate innovation and enhance industrial performance. Additionally, a strategy has been outlined to improve Canada's innovation performance by linking various economic development instruments into a coherent agenda, focusing on expanding markets, encouraging small business growth, and promoting science and technology across all sectors. A federal Science and Technology Strategy is also intended to streamline support for innovation and ensure it is conducive to private sector growth, particularly among small businesses.",The Government has recently outlined a number of proposals to make the economy more innovative and productive.,126.0,126.0
CAN_1995_002,CAN,Canada,1995,1995.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,adoption,growth_supporting,Enhancing access to capital for SMEs is expected to support their growth and innovation capabilities.,high,SME Financing Enhancement,,False,implemented,The federal government plans to stimulate commercial bank lending.,high,False,2,The initiative to establish performance benchmarks for small business financing represents a significant but narrower reform aimed at improving access to capital.,medium,"The federal government plans to stimulate commercial bank lending to small businesses by establishing performance benchmarks for small business financing, aiming to enhance access to capital for SMEs.",The federal government also intends to stimulate commercial bank lending to small businesses by working with the banks to establish performance benchmarks for small business financing.,110.0,110.0
CAN_1995_003,CAN,Canada,1995,1995.0,,,,,,,,explicit,high,innovation,research_infrastructure,,,public,adoption,growth_supporting,Investing in high-speed communications infrastructure is expected to enhance innovation capabilities and technology transfer.,high,Research Infrastructure Development,,False,implemented,The government is increasing funding for CANARIE.,high,False,2,Increasing funding for CANARIE represents a significant investment in research infrastructure that supports innovation.,medium,"The government is increasing funding for the Canadian Network for the Advancement of Research, Industry and Education (CANARIE) to create a high-speed experimental communications network, facilitating innovation and technology transfer.","Increased funding will be provided for the Canadian Network for the Advancement of Research, Industry and Education (CANARIE) which is charged with, among other things, creating a high speed experimental communications network.",,
