canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
2021-2030 National Progress Plan Development Program Implementation,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2023, 2024)","This program is likely aimed at national development, which may include R&D initiatives.",rd_programme,0.7,2021–2030 metų nacionalinio pažangos plano plėtros programų pažangos priemonėms įgyvendinti,2,766352.5,confidence below threshold,Lithuania
"Chapter II. Environment, Forests, Climate Change and Land Management",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2024, 2025)",This chapter likely includes programs related to environmental R&D.,rd_programme,0.5,"II SKYRIUS. APLINKA, MIŠKAI, KLIMATO KAITA IR ŽEMĖS TVARKYMAS",2,603607.5,confidence below threshold,Lithuania
Tuition Fees for Higher Education Institutions,higher_education,[],"['section_total', 'program_total', 'line_item']","(2009, 2011)","This funding supports higher education, which can include R&D activities.",rd_fund,0.5,Įmokos už mokslą aukštosiose mokyklose,3,228422.0,confidence below threshold,Lithuania
Export Promotion,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1997, 1997)",This program supports innovation and R&D in export activities.,rd_programme,0.7,Eksporto skatinimas,1,45000.0,confidence below threshold,Lithuania
Informatics,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)",This program is likely related to R&D in the field of informatics.,rd_programme,0.6,informa-tika,1,34771.0,confidence below threshold,Lithuania
Energy Sector,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2001, 2024)","This entry relates to energy, which often involves R&D activities.",rd_programme,0.6,Energetika,3,28279.666666666668,confidence below threshold,Lithuania
Promote Health Preservation and Strengthening Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2024)","This program focuses on health and psychological resilience, relevant to R&D.",rd_programme,0.6,2.10. Skatinti sveikatos išsaugojimo ir stiprinimo veiklas ir stiprinti psichologinį (emocinį) visuomenės atsparumą,3,10833.666666666666,confidence below threshold,Lithuania
Department of Forests and Protected Areas under the Ministry of Environment,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1999, 2001)",This department may engage in R&D related to environmental protection.,rd_programme,0.7,Miškų ir saugomų teritorijų departamentas prie Aplinkos ministerijos,2,6278.0,confidence below threshold,Lithuania
Lithuanian Institute of Agriculture,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2009, 2010)",Involved in agricultural research and development.,rd_programme,0.7,Lietuvos žemdirbystės institutas,2,5408.5,confidence below threshold,Lithuania
Lithuanian Academy of Physical Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(2009, 2011)",This academy engages in research related to physical education and sports.,higher_education,0.6,Lietuvos kūno kultūros akademija,3,3920.0,confidence below threshold,Lithuania
Lithuanian Sports University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2017, 2025)",This university conducts research related to sports and physical education.,higher_education,0.7,Lietuvos sporto universitetas,8,3613.375,confidence below threshold,Lithuania
Fishery and Industry Development Programme,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1997, 1998)","This program supports the development of fisheries and industry, indicating R&D relevance.",rd_programme,0.7,Žuvų ūkio ir pramonės plėtojimo programa,2,1266.0,confidence below threshold,Lithuania
Mykolas Romeris University Institute of Forensic Medicine,science_agency,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)","This institute is involved in forensic medicine research, indicating R&D relevance.",dedicated_rd_agency,0.7,Mykolo Romerio universiteto Teismo medicinos institutas,1,1200.0,confidence below threshold,Lithuania
