year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2018,Ministry of Science and ICT (Korea),rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,National R&D Programmes (Korea),innovation_instruments,19633800000000.0,won,KRW,verified_override,2018년도 예산안 개요.pdf,55,Data/input/finance_bills/Korea/2018년도 예산안 개요.pdf,,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,verified_against_original_file,,,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
2018,Strategic Technology R&D Programmes (Korea),innovation_instruments,1400000000000.0,won,KRW,verified_override,2018년도 예산안 개요.pdf,28,Data/input/finance_bills/Korea/2018년도 예산안 개요.pdf,,Verified strategic-technology R&D subtotal from original Korea budget brief,verified_against_original_file,,,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
2019,Ministry of Science and ICT (Korea),rd_ministry,,,,,,,,,,covered_by_final_series,,,dropped after Korea source audit: surviving match was a noisy fragment or non-comparable summary row
2019,National R&D Programmes (Korea),innovation_instruments,20400000000000.0,won,KRW,verified_override,2019년도 예산안 개요.pdf,6,Data/input/finance_bills/Korea/2019년도 예산안 개요.pdf,,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,verified_against_original_file,,,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
2019,Strategic Technology R&D Programmes (Korea),innovation_instruments,1513700000000.0,won,KRW,verified_override,2019년도 예산안 개요.pdf,27,Data/input/finance_bills/Korea/2019년도 예산안 개요.pdf,,Verified strategic-technology R&D subtotal from original Korea budget brief,verified_against_original_file,,,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; manual override from original Korea budget brief (strategic-technology subtotal)
2021,Ministry of Science and ICT (Korea),rd_ministry,,,,,,,,,,covered_by_final_series,,,dropped after Korea source audit: surviving match was a noisy fragment or non-comparable summary row
2021,National R&D Programmes (Korea),innovation_instruments,27400000000000.0,won,KRW,verified_override,7. 2021-2025년 국가재정운용계획 주요내용.pdf,17,Data/input/finance_bills/Korea/7. 2021-2025년 국가재정운용계획 주요내용.pdf,,Verified Korea annual total R&D budget from original budget brief / fiscal-plan table,verified_against_original_file,,,Programmatic canonical for summary-style budget sources; not an institutional series.; manual override from original Korea budget brief (annual total R&D)
2021,Strategic Technology R&D Programmes (Korea),innovation_instruments,,,,,,,,,,covered_by_final_series,,,Theme-level canonical for strategic R&D programmes in Korean budget briefs.; dropped after Korea source audit: surviving match was a noisy fragment or non-comparable summary row
2022,Ministry of Science and ICT (Korea),rd_ministry,9626200000000.0,won,KRW,verified_override,3. 2022년 예산안.pdf,101,Data/input/finance_bills/Korea/3. 2022년 예산안.pdf,,Verified MSIT / science-technology-communication budget total from original Korea budget brief,verified_against_original_file,,,manual override from original Korea budget brief (MSIT total)
