canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Compensation to Certain Regions/Municipalities for Cooperation on Medical Education and Research,higher_education,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This entity supports collaboration in medical education and research.,rd_programme,0.7,Ersättning till vissa landsting/kommuner enligt avtal om samarbete om läkarutbildning och forskning,1,1530632000.0,confidence below threshold,Sweden
"Mathematical-Natural Sciences Faculties, etc.",higher_education,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This entity supports research in mathematical and natural sciences.,rd_programme,0.7,Matematisk-naturvetenskapliga fakulteterna m.m.,1,833398000.0,confidence below threshold,Sweden
"Technical Development, etc.",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This entity funds technical development and related research.,rd_programme,0.7,Teknisk utveckling m. m.,1,818815000.0,confidence below threshold,Sweden
F 2. Information Technology,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1994, 1995)",This programme supports research in information technology.,rd_programme,0.7,F 2. Informationsteknologi,2,176636460.0,confidence below threshold,Sweden
Grants to certain international research facilities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)","This fund supports international research facilities, indicating R&D relevance.",rd_fund,0.7,Bidrag till vissa internationella forskningsanläggningar m.m.,1,159834000.0,confidence below threshold,Sweden
Funds for research-supporting measures at smaller and medium-sized universities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This fund supports research activities at smaller and medium-sized universities.,rd_fund,0.7,Medel for forskningsstödjande åtgärder vid de mindre och medelstora högskolorna,1,155133000.0,confidence below threshold,Sweden
Allocated under Grant 3:13 Special Expenditures for Research Purposes for 2022,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)","This allocation is for special research expenditures, indicating R&D relevance.",rd_fund,0.7,Anvisas under anslaget 3:13 Särskilda utgifter för forskningsändamål för 2022.,1,88995000.0,confidence below threshold,Sweden
"Proposal to Allocate 87,995,000 SEK under Grant 3:13 Special Expenditures for Research Purposes for 2023",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)","This proposal is for research expenditures, indicating R&D relevance.",rd_fund,0.7,Förslag att 87 995 000 kronor anvisas under anslaget 3:13 Särskilda utgifter för forskningsändamål för 2023,1,87995000.0,confidence below threshold,Sweden
Research Support Measures for Small and Medium-sized Universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1995)",This program provides support for research at smaller universities.,rd_programme,0.7,Forskningsstödjande åtgärder vid mindre och medelstora högskolor,2,77572666.66666667,confidence below threshold,Sweden
General Environmental and Nature Conservation,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1994, 2025)",This program supports research related to environmental and nature conservation.,rd_programme,0.6,Allmän miljö- och naturvård,28,73101648.17021276,confidence below threshold,Sweden
Support for Collective Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1993)",Supports collaborative research initiatives.,rd_programme,0.7,Stöd till kollektiv forskning,2,49950600.0,confidence below threshold,Sweden
Grants to the Transport Research Committee for Budget Year 1992/93,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",Funding for transport research initiatives.,rd_programme,0.6,Anslag till transportforskningsberedningen för budgetåret 1992/93,1,44006000.0,confidence below threshold,Sweden
Research and Artistic Development Work at Certain Universities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",Supports research and artistic development in higher education.,rd_programme,0.7,Forskning och konstnärligt utvecklingsarbete vid vissa högskolor och uppgår till 42 612 000 kronor.,1,42612000.0,confidence below threshold,Sweden
Grants to the Royal Swedish Academy of Sciences,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",Funding for scientific research activities.,rd_fund,0.6,1. Bidrag till Vetenskapsakademien 42 233 000,1,42233000.0,confidence below threshold,Sweden
Thematic Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1992)",Supports research initiatives focused on specific themes.,rd_programme,0.7,Temaorienterad forskning,2,38921000.0,confidence below threshold,Sweden
"Monitoring, Preventing, and Combating Forest Damage",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)",Involves research and development related to environmental protection.,rd_programme,0.7,"För att övervaka, förebygga och bekämpa skogsskador",1,30000000.0,confidence below threshold,Sweden
Establishment of a Forest Damage Center,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)",Involves research on forest damage and pest risk assessment.,rd_programme,0.7,För inrättande av ett skogsskadecentrum inklusive bland annat riskvärdering för skogsskadegörare,1,30000000.0,confidence below threshold,Sweden
Research Income from External Funders for Higher Education Institutions,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2022, 2025)",Involves funding for research activities in higher education.,rd_fund,0.7,Lärosätenas forskningsintäkter från externa finansiärer,2,27300000.0,confidence below threshold,Sweden
Grant for Research in Youth Schools and Adult Education,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",Supports research in education sectors.,rd_programme,0.6,Anslag för forskning inom ungdomsskola och vuxenutbildning samt informationsåtgärder i samband därmed.,1,27221000.0,confidence below threshold,Sweden
"Research in the School System, Reserve Grant",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",Focuses on educational research.,rd_programme,0.6,"Forskning inom skolväsendet, reservationsanslag",1,27221000.0,confidence below threshold,Sweden
"National Forensic Laboratory, Proposal Grant",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",Supports forensic research and development.,rd_programme,0.7,"Statens rättskemiska laboratorium, förslagsanslag",1,26702000.0,confidence below threshold,Sweden
Research and Artistic Development Work at Certain Universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",This funding supports research and artistic development in higher education.,rd_programme,0.7,Forskning och konstnärligt utvecklingsarbete vid vissa högskolor och uppgår till 14 877 000 kronor.,1,14877000.0,confidence below threshold,Sweden
Development Work in Education and Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2025)",This initiative supports development work in education and research.,rd_programme,0.7,Utvecklingsarbete inom områdena utbildning och forskning,2,12489071.5,confidence below threshold,Sweden
1:14 Competition Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This program is focused on competition research.,rd_programme,0.7,1:14 Konkurrensforskning - Erhållet/föreslaget bemyndigande,1,12000000.0,confidence below threshold,Sweden
Membership Fee to ICOS-ERIC,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2019, 2021)",This membership supports research in the field of carbon observation.,rd_programme,0.7,Medlemsavgift till ICOS-ERIC,3,9250000.0,confidence below threshold,Sweden
Research and Research Information,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1998, 2025)",This encompasses both research and information related to research activities.,rd_programme,0.7,Forskning och forskningsinformation,10,6531672.3,confidence below threshold,Sweden
Contribution to the State Geotechnical Institute,science_agency,[],"['section_total', 'program_total', 'line_item']","(1991, 1992)","This funding supports the State Geotechnical Institute, which is involved in R&D.",rd_fund,0.65,Bidrag till statens geotekniska institut,2,6429000.0,confidence below threshold,Sweden
Forums for Female Researchers,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)","This program supports female researchers, contributing to R&D efforts.",rd_programme,0.7,Fora for kvinnliga forskare m.m.,1,5833000.0,confidence below threshold,Sweden
Increase Competitiveness of Small and Medium-Sized Enterprises,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This program supports R&D initiatives aimed at SMEs.,rd_programme,0.7,Öka konkurrenskraften hos små och medelstora företag,1,5100000.0,confidence below threshold,Sweden
Foundation of Jönköping University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1994, 2003)",This foundation supports higher education and research activities.,higher_education,0.6,Stiftelsen Högskolan i Jönköping,2,5002500.0,confidence below threshold,Sweden
Government Proposal for the Gene Technology Committee,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)",This funding is related to gene technology research.,rd_fund,0.7,Regeringen föreslår att 4 850 000 kronor anvisas under anslaget 3:14 Gentekniknämnden för 2023,1,4850000.0,confidence below threshold,Sweden
Contribution to the Red Cross Foundation for Research and Education at Doctoral Level,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This funding supports research and education at the doctoral level.,rd_programme,0.6,Bidraget till Stiftelsen Rödakorshemmet för forskning och utbildning på forskarnivå,1,4563000.0,confidence below threshold,Sweden
"Technical Development, etc.",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This funding is aimed at technical development and related research.,rd_programme,0.7,Teknisk utveckling m.m.,1,4303737.0,confidence below threshold,Sweden
Expenditures for State Grants to Private Educational Providers for Research and Doctoral Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(2025, 2025)",This funding supports research and doctoral education at private institutions.,rd_programme,0.65,Utgifter för statsbidrag till enskilda utbildningsanordnare för forskning och utbildning på forskarnivå,1,4210776.0,confidence below threshold,Sweden
Funds for Research and Doctoral Education Distributed to University Units,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This funding is allocated for research and doctoral education at universities.,rd_programme,0.7,Medel för forskning och forskarutbildning under fakultetsanslagen fördelade på högskoleenheter,1,3998000.0,confidence below threshold,Sweden
Växjö University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1998)",This institution is involved in higher education and research activities.,higher_education,0.6,Högskolan i Växjö,3,3996366.6666666665,confidence below threshold,Sweden
Additional Funds Requested for Research and Development Projects,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This funding is specifically for research and development projects.,rd_fund,0.7,Ytterligare medel yrkas för forsknings- och utvecklingsprojekt,1,3974000.0,confidence below threshold,Sweden
Karlstad University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1998)",This institution is involved in higher education and research activities.,higher_education,0.6,Högskolan i Karlstad,3,3956966.6666666665,confidence below threshold,Sweden
Örebro University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1998)","As a university, it engages in research activities relevant to R&D.",higher_education,0.7,Högskolan i Örebro,3,3864800.0,confidence below threshold,Sweden
Energy Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2022)",This budget is likely allocated for energy-related research initiatives.,rd_programme,0.6,Energi,3,3642256.3333333335,confidence below threshold,Sweden
Seismological Multiplex Station,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1980, 1981)","This entity is involved in seismological research, indicating R&D relevance.",rd_programme,0.7,Scismologisk multipelstation,2,3602000.0,confidence below threshold,Sweden
Membership Fee to European Solar Telescope (EST-ERIC),direct_rd,[],"['section_total', 'program_total', 'line_item']","(2024, 2025)",This membership fee supports collaborative research in solar astronomy.,rd_programme,0.7,Medlemsavgift till European Solar Telescope (EST-ERIC),2,3300000.0,confidence below threshold,Sweden
University of Borås,higher_education,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","As a university, it engages in research activities relevant to R&D.",higher_education,0.7,Högskolan i Boras,1,3231000.0,confidence below threshold,Sweden
Mälardalen University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","As a university, it engages in research activities relevant to R&D.",higher_education,0.7,Mälardalens högskola,1,3230000.0,confidence below threshold,Sweden
University of Gävle,higher_education,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","As a university, it engages in research activities relevant to R&D.",higher_education,0.7,Högskolan i Gavle/Sandviken,1,3197000.0,confidence below threshold,Sweden
University of Falun/Borlänge,higher_education,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","As a university, it engages in research activities relevant to R&D.",higher_education,0.7,Högskolan i Falun/Borlange,1,3155000.0,confidence below threshold,Sweden
Allocation for Swedish University of Agricultural Sciences for 2020,higher_education,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)","This allocation supports agricultural research, making it relevant for R&D.",rd_fund,0.7,Anslag för Sveriges lantbruksuniversitet för 2020,1,1985357.0,confidence below threshold,Sweden
Increase access to and use of information and communication technology,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)","This program aims to enhance the use of ICT, which is relevant for innovation.",rd_programme,0.7,Öka tillgången till och användningen av informations- och kommunikationsteknik,1,1600000.0,confidence below threshold,Sweden
State Institute for Building Research: Equipment,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This entity supports research in building research through equipment funding.,rd_programme,0.7,Statens institut för byggnadsforskning: Utrustning,1,1000000.0,confidence below threshold,Sweden
Contribution to Beckmans School AB for Research and Education at Doctoral Level,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This entity supports research and education at the doctoral level.,rd_programme,0.6,Bidraget till Beckmans skola AB för forskning och utbildning på forskarnivå,1,971000.0,confidence below threshold,Sweden
Grant for the Swedish Energy Agency's Administrative Expenses and District Heating Board,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2025, 2025)",This funding is related to energy research and development.,rd_fund,0.7,Anslag för Statens energimyndighets förvaltningsutgifter samt Fjärrvärmenämnden.,1,585557.0,confidence below threshold,Sweden
Contribution to the Evangelical National Foundation for Research and Education at Doctoral Level,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This contribution supports research and education at the doctoral level.,rd_fund,0.7,Bidraget till Evangeliska Fosterlands-Stiftelsen för forskning och utbildning på forskarnivå,1,560000.0,confidence below threshold,Sweden
Scientific Support Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1980, 1986)",This activity likely involves scientific research and support.,rd_programme,0.6,Vetenskaplig underlagsverksamhet,3,559831.9996666667,confidence below threshold,Sweden
Visiting Researcher Grants,higher_education,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This funding supports the exchange of knowledge through visiting researchers.,rd_programme,0.7,Besök av gästforskare,1,500000.0,confidence below threshold,Sweden
"Special Expenses within Universities and Colleges, Framework Grant",higher_education,[],"['section_total', 'program_total', 'line_item']","(1999, 1999)",This funding supports special expenses related to research in higher education.,rd_fund,0.7,"Särskilda utgifter inom universitet och högskolor m.m., ramanslag",1,458784.0,confidence below threshold,Sweden
Grant to the Swedish Research Institute in Istanbul,science_agency,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This grant supports research activities at an international institute.,rd_fund,0.7,Bidrag till svenska forskningsinstitutet i Istanbul 421 000,1,421000.0,confidence below threshold,Sweden
Grant to the Swedish Research Institute in Istanbul,science_agency,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This grant supports research activities at an international institute.,rd_fund,0.7,Bidrag till svenska forskningsinstitutet i Istanbul,1,390000.0,confidence below threshold,Sweden
Engineering Initiative,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)",This initiative likely supports engineering-related research and development.,rd_programme,0.7,Ingenjörssatsning,1,330000.0,confidence below threshold,Sweden
Increase in Funding for Research and Doctoral Education by 200 Million SEK in 2007,higher_education,[],"['section_total', 'program_total', 'line_item']","(2007, 2007)",This increase in funding is aimed at enhancing research and doctoral education.,rd_fund,0.7,Ökning av anslaget för forskning och forskarutbildning med 200 miljoner kronor 2007,1,200000.0,confidence below threshold,Sweden
A2 Small Business Development Grant,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2000, 2000)","This program supports small business development, which can include R&D activities.",rd_programme,0.7,"A2 Småföretagsutveckling, ramanslag",1,196062.0,confidence below threshold,Sweden
Research Grant,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)",This is a direct grant for research activities.,rd_fund,0.7,Bidrag forskning,1,150000.0,confidence below threshold,Sweden
Strengthening Research Resources,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","Aims to enhance research resources, indicating R&D relevance.",rd_fund,0.7,Förstärkning av forskningens resurser,1,130000.0,confidence below threshold,Sweden
Longitudinal Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1985, 1985)","Focuses on longitudinal studies, relevant to R&D.",rd_programme,0.7,Longitudinell forskning,1,125000.0,confidence below threshold,Sweden
Research for a Circular Economy Adapted Community Development,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1994, 1995)","Focuses on sustainable development research, relevant to R&D.",rd_programme,0.7,Forskning för en kretsloppsanpassad samhällsutveckling,2,122764.0,confidence below threshold,Sweden
