canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
University Education and Postgraduate Training,higher_education,[],"['section_total', 'program_total', 'line_item']","(2009, 2024)",Relevant as it pertains to higher education which often includes R&D.,higher_education,0.7,Istruzione universitaria e formazione post-universitaria,3,9456210582666.666,confidence below threshold,Italy
University System and Postgraduate Training,higher_education,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",Supports higher education which is often involved in R&D.,higher_education,0.7,Sistema universitario e formazione post-universitaria (23.3),1,7581918667000.0,confidence below threshold,Italy
5 Billion Lira for the Research Area of Trieste,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)","Supports a specific research area, indicating R&D relevance.",rd_fund,0.6,Somma di lire 5 miliardi in favore dell'area di ricerca di Trieste,1,5000000000000.0,confidence below threshold,Italy
7 Billion Lira for the Research Area of Trieste,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1994)","Supports a specific research area, indicating R&D relevance.",rd_fund,0.6,Somma di lire 7 miliardi in favore dell'area di ricerca di Trieste,2,3503500000000.0,confidence below threshold,Italy
"Expenses for Conducting Investigations, Studies, Research and Preparing Documents and Elaborations",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)","This entity supports various research and study initiatives, making it relevant to R&D.",rd_programme,0.7,"SPESE PER L'ESECUZIONE DI INDAGINI, STUDI, RICERCHE E PER LA PREPARAZIONE DI DOCUMENTI ED ELABORATI",1,430000000000.0,confidence below threshold,Italy
Refinancing Law No. 308 of 1982 on Renewable Energy Sources and Energy Consumption Savings,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1988, 1988)","This entity supports renewable energy research, indicating relevance to R&D.",rd_programme,0.7,Rifinanziamento legge n. 308 del 1982 in materia di fonti rinnovabili di energia e di risparmio dei consumi energetici,1,366000000000.0,confidence below threshold,Italy
Expenditure for Satellite Systems,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1994)","This entity funds research related to satellite systems, relevant to R&D.",rd_programme,0.7,SPESE PER SISTEMI SATELLITARI,2,207965000000.0,confidence below threshold,Italy
Support for Scientific and Research Activities of Cultural Institutions,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program supports scientific research activities in cultural institutions.,rd_programme,0.7,Sostegno alle attività scientifiche e di ricerca delle istituzioni culturali,1,40815210000.0,confidence below threshold,Italy
Expenditure for the Preparation of the National Research Plan on Solid Waste Disposal,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1988, 1988)","This expenditure is related to research on waste disposal, making it relevant for R&D.",rd_programme,0.7,SPESE PER LA PREDISPOSIZIONE DEL PIANO NAZIONALE DI RICERCA IN MATERIA DI SMALTIMENTO DI RIFIUTI SOLIDI,1,20000000000.0,confidence below threshold,Italy
Funding for Enterprises for the Development of Programs and Execution of Studies,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)",This funding supports enterprises in research and development activities.,rd_fund,0.7,FINANZIAMENTI ALLE IMPRESE PER L'ELABORAZIONE DI PROGRAMMI E L'ESECUZIONE DI STUDI,1,15000000000.0,confidence below threshold,Italy
"Research, Education, and Training in Cultural Heritage and Activities",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2018, 2019)",This funding is aimed at research in cultural heritage.,rd_programme,0.65,Ricerca educazione e formazione in materia di beni e attivita' culturali,2,12623081000.0,confidence below threshold,Italy
Interventions for Initiatives Aimed at Promoting Scientific Culture,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)","This initiative promotes scientific culture, which is relevant to R&D.",rd_programme,0.7,INTERVENTI PER INIZIATIVE INTESE A FAVORIRE LA DIFFUSIONE DELLA CULTURA SCIENTIFICA,1,10000000000.0,confidence below threshold,Italy
Initiatives for the Dissemination of Scientific Culture and Research,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)",This initiative supports the dissemination of scientific research.,rd_programme,0.7,Iniziative per la diffusione delia cultura e della ricerca scientifica,1,10000000000.0,confidence below threshold,Italy
Initiatives for the Dissemination of Scientific Culture and Research,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This initiative supports the dissemination of scientific research.,rd_programme,0.7,Iniziative per la diffusione della cultura e della ricerca scientifica,1,10000000000.0,confidence below threshold,Italy
Interventions for Initiatives Aimed at Promoting Scientific Culture,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1996, 1996)","This initiative promotes scientific culture, which is relevant to R&D.",rd_programme,0.7,Interventi per iniziative intese a favorire la diffusione della cultura scientifica,1,9500000000.0,confidence below threshold,Italy
Amount to be Assigned to Research Institutions and Experimental Entities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1996, 1996)","This fund is designated for research institutions, supporting R&D activities.",rd_fund,0.7,Somma da assegnare ad Istituzioni ed Enti di ricerca e sperimentazione,1,8923000000.0,confidence below threshold,Italy
State Contributions in Favor of INSEAN,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)","This funding supports the research activities of INSEAN, a recognized research institute.",rd_fund,0.7,Contributi dello Stato in favore dell' INSEAN,1,6807599000.0,confidence below threshold,Italy
"Expenditure of 5 Million Euros for Actions, Initiatives, and Innovation Projects",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This funding supports various innovation projects and initiatives.,rd_fund,0.7,"spesa di 5 milioni di euro per ciascuno degli anni 2020 e 2021 per le azioni, le iniziative e i progetti di innovazione",1,5000000000.0,confidence below threshold,Italy
Research in the Field of Restoration and Conservation of Cultural Heritage,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",This research is relevant for R&D in cultural heritage conservation.,rd_programme,0.7,Ricerca nel settore del restauro e della conservazione dei beni culturali degli istituti centrali,1,4196873000.0,confidence below threshold,Italy
"Expenses for National Activities Concerning Investigations, Studies, and Research",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1986, 1986)","This entity supports various research activities, making it relevant for R&D.",rd_programme,0.7,"SPESE PER ATTIVITA’ DI CARATTERE NAZIONALE CONCERNENTI INDAGINI, STUDI E RICERCHE.",1,3937385000.0,confidence below threshold,Italy
"Contributions to Entities, Institutes, Associations, Foundations, and Other Organizations",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)",This funding supports various organizations that may engage in R&D activities.,rd_fund,0.6,"CONTRIBUTI AD ENTI, ISTITUTI, ASSOCIAZIONI FONDAZIONI ED ALTRI ORGANISMI",1,3788557000.0,confidence below threshold,Italy
Item 4 - Industry and Experimental Stations,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)",This item relates to industry and experimental stations which are relevant for R&D.,rd_programme,0.7,RUBRICA 4 - INDUSTRIA E STAZIONI SPERIMENTALI,1,3060000000.0,confidence below threshold,Italy
Tax credit for technological innovation activities,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)","This tax credit incentivizes technological innovation, relevant for R&D.",innovation_instruments,0.7,Credito d'imposta per attività di innovazione tecnologica,1,2000000000.0,confidence below threshold,Italy
"Expenses for Research, Processing, and Studies Related to the Implementation of the Soil Defense Law",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)","This funding is related to research on soil defense, which is R&D relevant.",rd_programme,0.7,"SPESE PER RICERCHE, ELABORAZIONI E STUDI CONNESSI CON L'ATTUAZIONE DELLA LEGGE SULLA DIFESA DEL SUOLO",1,750000000.0,confidence below threshold,Italy
