year,source_file,page_number,program_name,department,description,amount_gbp,unit,is_annual
1996,1996_UK.pdf,114,Total central government spending on Science and Technology,DTI,Total central government spending on Science and Technology in 1997-98 is expected to be about £6 billion.,6000000000,annual (1997-98),True
1996,1996_UK.pdf,114,Science Budget (DTI),DTI,In 1997-98 the science budget will be 24 per cent higher in cash terms than at the beginning of the current parliament (qualitative/% only).,,annual (1997-98),True
1996,1996_UK.pdf,114,Challenge fund for scientific equipment (further/higher education),DfEE,£20 million in 1997-98 for a challenge fund to finance scientific equipment.,20000000,annual (1997-98),True
1998,1998_UK.pdf,49,University Challenge Fund,DTI/DfEE,University Challenge Fund to create seed venture capital funds to help commercially exploit universities' research.,,multi-year fund,False
2000,2000_UK.pdf,37,Science and Research Base (Joint Infrastructure Fund / CSR 1998),DTI/OST,"injected £1.4 billion in the 1998 Comprehensive Spending Review, including the £700 million Joint Infrastructure Fund endowment.",1400000000,multi-year total (CSR 1998 period),False
2000,2000_UK.pdf,37,University Challenge Fund,DTI,set up the £50 million University Challenge fund to provide seed funding for commercialising research.,50000000,total fund,False
2000,2000_UK.pdf,37,Science Enterprise Challenge,DTI,run the Science Enterprise Challenge. This provided £25 million for new centres to encourage enterprise in and around universities.,25000000,total fund,False
2000,2000_UK.pdf,37,Cambridge-MIT Institute (Capital Modernisation Fund),DTI,committed up to £14 million a year on average from the Capital Modernisation Fund for the next five years towards the costs of the Cambridge-MIT Institute.,14000000,per year for 5 years,True
2003,2003_UK.pdf,62,Higher Education Innovation Fund (HEIF),DTI/DfES,"the £187 million Higher Education Innovation Fund (HEIF). In the next round of the HEIF, for investment between 2004 and 2006.",187000000,total fund (2004-2006 round),False
2003,2003_UK.pdf,62,Public Sector Research Establishments commercialisation,DTI,Funding of £15 million will be allocated this year to help catalyse this activity [commercialisation of science and technology in PSREs].,15000000,annual (2003-04),True
2003,2003_UK.pdf,60,R&D tax credit for SMEs (take-up estimate),DTI/Inland Revenue,"Around 3,000 claims for the SME tax credit for R&D activity carried out during 2001-02 are expected, leading to more than £150 million of claims.",150000000,annual tax expenditure (2001-02 claims),True
2004,2004_UK.pdf,12,NHS R&D increase (UKCRC),DoH/MRC,"a commitment to increase NHS funding for R&D by £100 million by 2008, to underpin the creation of a new UK Clinical Research Collaboration.",100000000,cumulative increase by 2008,False
2004,2004_UK.pdf,69,NHS R&D combined budget target (MRC + NHS),DoH/MRC,This should allow the combined budget for medical research and for R&D within the NHS to rise to around £1.2 billion a year by 2007-08.,1200000000,annual (target 2007-08),True
2004,2004_UK.pdf,69,National Technology Strategy (DTI),DTI,a £150 million National Technology Strategy to provide a framework for policy priorities and focus support on innovation.,150000000,total fund,False
2004,2004_UK.pdf,70,"R&D tax credit extensions (software, power, water, fuel)",DTI/Inland Revenue,"Expenditure on software, power, water and fuel will all qualify for the tax credit, providing £35 million of additional annual support for business R&D.",35000000,annual additional tax support,True
2005,2005_UK.pdf,71,Science Budget allocation (Research Councils) - sustainability of university research,OST/RCUK,"investment of over £1 billion over the period to ensure the sustainability of university research and infrastructure, including full economic cost funding.",1000000000,multi-year total (up to 2008),False
2005,2005_UK.pdf,71,Research Councils - full economic cost (FEC) funding,OST/RCUK,£440 million to enable Research Councils and Learned Societies to pay a greater proportion of the full economic cost of research they fund.,440000000,"multi-year (up to 2008), subset of £1bn",False
2005,2005_UK.pdf,71,Knowledge transfer and business-university collaboration,OST/DTI,over £300 million to support knowledge transfer and business-university collaboration.,300000000,multi-year total (up to 2008),False
2005,2005_UK.pdf,71,Key disciplines / attracting researchers (Science Budget),OST/RCUK,"£60 million to underpin the health of key disciplines such as engineering, and to attract the best researchers from around the world.",60000000,multi-year (up to 2008),False
2005,2005_UK.pdf,71,Medical Research Council budget allocation,MRC,"additional funding of £25 million for clinical research, as part of the Medical Research Council's £1.5 billion budget allocated for the SR2004 period.",1500000000,multi-year total (up to 2008),False
2005,2005_UK.pdf,71,Energy R&D from Science Budget,OST/DTI,Funding for energy R&D from the Science Budget will rise from a current level of £40 million per year to £70 million per year by 2007-08.,70000000,annual (target 2007-08),True
2005,2005_UK.pdf,72,Science Research Infrastructure Fund (SRIF),OST/HEFCE,"The next round of the Science Research Infrastructure Fund, which provides capital funding of £500 million per annum to universities.",500000000,per annum (capital),True
2006,2006_UK.pdf,68,Total UK science spending (2004 SR period),OST/DTI,by 2007-08 total UK science spending will be £5.4 billion representing an average annual growth of 5.8 per cent in real terms since 2004-05.,5400000000,annual (2007-08 target),True
2006,2006_UK.pdf,68,Additional investment in science and innovation (2004 SR),OST,The Government is investing an additional £1 billion in science and innovation over the period of the 2004 Spending Review.,1000000000,multi-year additional (2004 SR period),False
2006,2006_UK.pdf,69,Single Health Research Fund,DoH/DTI,"create a single, jointly held health research fund of at least £1 billion per year.",1000000000,per year (target),True
2006,2006_UK.pdf,49,Enterprise Capital Funds,DTI,announcing a further £50 million in 2006-07 and £50 million in 2007-08 for the Enterprise Capital Funds scheme.,100000000,total over 2 years (2006-07 and 2007-08),False
2006,2006_UK.pdf,74,UKTI International R&D Strategy,UKTI/DTI,"UKTI will implement an international R&D strategy with funding of £9 million, in partnership with the academic and business community.",9000000,total,False
2007,2007_UK.pdf,69,Total UK science spending (target 2007-08),OST/DTI,"by 2007-08, total UK science spending will be £5.4 billion.",5400000000,annual (2007-08),True
2007,2007_UK.pdf,69,Science budget early CSR settlement (DTI + DfES),DTI/DfES,Budget 2007 announces early 2007 CSR settlements for the Department of Trade and Industry's ring-fenced science budget and for DfES. 2.5% real annual growth over CSR period (2008-11).,,"CSR period (2008-11), 2.5% real annual growth",True
2007,2007_UK.pdf,70,Technology Strategy Board (TSB) funding,DTI,funding of at least £178 million by 2007-08 [for TSB Collaborative R&D].,178000000,annual (target 2007-08),True
2007,2007_UK.pdf,70,TSB Collaborative R&D new call,DTI/TSB,"Today, the TSB will allocate £100 million for Collaborative R&D.",100000000,total new call,False
2007,2007_UK.pdf,72,Energy Technologies Institute (ETI),DTI,"The aspiration is to raise £100 million per year for UK-based energy research, design, demonstration and development: a £1 billion commitment over 10 years (50:50 public-private).",1000000000,"total over 10 years (£100m/yr, 50:50 PPP)",False
2008,2008_UK.pdf,55,Project Enthuse (science teacher training),DIUS/Wellcome,"The Government will invest £10 million over five years to support the [Project Enthuse] scheme, levering up to £20 million from the Wellcome Trust.",10000000,total over 5 years (government contribution),False
2008,2008_UK.pdf,55,STEM skills communications campaign,DIUS/DCSF,a new £6 million communications campaign [for STEM skills].,6000000,total,False
2009,2009_UK.pdf,87,Technology Strategy Board (TSB) - Strategic Investment Fund,DIUS/BIS,The Government will set aside £50 million as part of the new Strategic Investment Fund to enable the TSB to increase its support for collaborative R&D.,50000000,total,False
2009,2009_UK.pdf,87,STEM Triple Science Support Programme,DCSF,investment of £3 million in the coming year for the Triple Science Support Programme.,3000000,annual (2009-10),True
2009,2009_UK.pdf,87,STEM post-16 physics/mathematics widening participation,DCSF,£2 million over the next two years on additional support to widen post-16 participation in physics and mathematics.,2000000,total over 2 years,False
2009,2009_UK.pdf,89,Creative industries R&D (TSB),DCMS/TSB,"a £10 million programme of research and development for the creative industries, led by the TSB.",10000000,total,False
2009,2009_UK.pdf,89,Low-carbon and Strategic Investment Fund allocation,BIS/DECC,£250 million will be allocated from the new Strategic Investment Fund to help UK industry benefit from low-carbon investment opportunities.,250000000,total,False
2009,2009_UK.pdf,136,DIUS science budget (CSR 2007 period) - 6% annual increase,DIUS,"The Department for Innovation, Universities and Skills will be able to make additional savings while continuing to increase the science budget at 6% per year (qualitative/% only).",,annual growth rate 6% (2010-11),True
2010,2010_03_UK.pdf,64,Institute of Web Science (Southampton/Oxford),BIS,"the Government confirms £30 million of funding for the Institute of Web Science, a joint venture between Southampton and Oxford universities.",30000000,total,False
2010,2010_03_UK.pdf,56,University Enterprise Capital Fund,BIS,launching a University Enterprise Capital Fund to exploit the commercial potential of the UK's world-class research base (no specific £ amount on this page).,,fund,False
2010,2010_03_UK.pdf,118,Offshore wind R&D (Mitsubishi facility),DECC/BIS,£30 million support for Mitsubishi to locate a new £100 million offshore wind R&D facility in the UK.,30000000,total,False
2010,2010_03_UK.pdf,118,Offshore wind test sites (North East),DECC/BIS,£18.5 million for developing offshore wind test sites in the North East.,18500000,total,False
