reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,tax_score,score_band,filter_decision,llm_decision,llm_rationale,activity_lens,defence_scope,source_page_recovered,source_quote_verified,source_match_score
AUS_1983_001,AUS,Australia,1983,,,,,,,,,,,innovation,innovation_instruments,,,private,commercialization,growth_supporting,"These reforms incentivize private investment in non-residential buildings and support export activities, which can enhance productivity and economic growth.",high,Tax and Export Incentives,Depreciation Allowances and Export Grants,True,implemented,The reforms were enacted and are currently in force.,high,False,2,"While these reforms are significant in their impact on private sector investment and export support, they do not represent a structural overhaul of the innovation system.",medium,"The Government decided to amend the income tax law to make depreciation allowances available for new non-residential income producing buildings and to significantly strengthen the Export Market Development Grants Scheme, with new arrangements to operate from July 1, 1982, to June 30, 1988.","The Export Market Development Grants Scheme should be significantly strengthened, with the new arrangements to operate from 1st July 1982 to 30th June 1988.",61.0,61.0,1.0,borderline,escalate_to_llm,exclude,"The primary purpose of the reform is to amend tax law and strengthen a grant scheme, which does not directly relate to R&D funding.",,,65.0,"entIncentivesSchemeshouldcontinuewithoutanymajor changes; - theExportMarketDevelopmentGrantsSchemeshouldbesignificantlystrengthened,withthenew arrangements tooperatefrom 1stJuly 1982to30thJune 1988; - the ExportExpansi",0.733
AUS_1987_003,AUS,Australia,1987,,,,,,,,,,,innovation,innovation_instruments,,,public,adoption,growth_supporting,"Reducing tariffs is expected to enhance competition and innovation within the TCF sector, leading to improved productivity.",high,Tariff Reduction for TCF Sector,,False,announced,The program has been officially announced and is set to be implemented over eight years.,high,True,3,The program represents a significant policy shift aimed at fostering innovation in a key industry sector.,high,"The government announced an eight-year program to reduce nominal tariff rates for clothing and household textile products, footwear, and fabrics, aiming to encourage a more innovative and competitive TCF sector.","The Government recently announced an eight-year programme which comes into full operation in 1989 whereby the nominal tariff rate will be reduced to 60 percent for clothing and household textile products, 50 percent for footwear and 40 percent for fabrics.",,,2.0,borderline,escalate_to_llm,exclude,"The reform focuses on tariff reductions to encourage competitiveness, which is not directly related to R&D.",,,84.0,"rageannual quotagrowthfrom 1982to 1986wasgreaterthan 6percent. Australia'sTCFindustriesarecurrently assisted by nominal protection levels of up to 130per cent7. However, the Government recently announcedaneight-yearprogrammewhichcomesintofulloperationin 1989wherebythenominaltariff ratewillbereducedto60percentforclothingandhouseholdtextileproducts,50percent",0.612
AUS_1987_004,AUS,Australia,1987,,,,,,,,,,,innovation,human_capital,innovation_instruments,,public_private,applied,growth_supporting,"By enhancing workforce skills, the program aims to improve productivity and innovation capacity in the heavy engineering sector.",high,Heavy Engineering Workforce Development,,False,announced,The program has been officially announced and is set to be implemented.,high,True,3,The program represents a significant investment in human capital aimed at transforming the heavy engineering sector.,high,The Heavy Engineering Adjustment and Development Programme was announced to enhance the skills and efficiency of the workforce in the heavy engineering sector through various support measures.,"In mid-1986, in response to an IAC report, the government announced a plan for the heavy engineering industry to operate for three years.",85.0,85.0,2.0,borderline,escalate_to_llm,exclude,The program aims to enhance workforce skills but does not specifically target R&D or innovation activities.,,,85.0,"heavyengineeringadjustment anddevelopmentprogramme In mid-1986, in response to an IAC report, the government announced a plan for the heavy engineering industry to operate for three years. The pro",0.82
AUS_1988_004,AUS,Australia,1988,,,,,,,,,,,innovation,human_capital,,,public_private,applied,growth_supporting,"These programmes aim to enhance the skills of disadvantaged job seekers, thereby improving their employability and contributing to the overall skill level of the workforce.",high,Youth and Adult Training Initiatives,Youth and Adult Training Programmes,False,implemented,The YTP and ATP have been put into practice as indicated by their implementation status.,high,False,2,The establishment of the YTP and ATP is significant for workforce development but does not represent a major overhaul of the training system.,medium,"The Youth Training Programme (YTP) and Adult Training Programme (ATP) were established to provide training opportunities for disadvantaged job seekers, facilitating their entry into approved courses.","The Youth Training Programme (YTP), and Adult Training Programme (ATP) are both mainly targeted at disadvantaged job seekers who have been unemployed for six months or more, providing entrance into approved courses either through the TAFE system or using private or industry-based training.",77.0,77.0,2.0,borderline,escalate_to_llm,exclude,The training programs focus on job seekers and do not pertain to R&D or innovation.,,,77.0,"heworkforce. Some 20 000 traineeship positions have been created to date; - The Youth Training Programme (YTP), and Adult Training Programme (ATP) arebothmainlytargetedatdisadvantagedjobseekerswhohavebeen unemployed for six months or more, providing entrance into approved courses either through theTAFE system or using private or industry-based training. There are to be some 25 000 persons in these progr",0.802
AUS_1997_003,AUS,Australia,1997,,1997.0,explicit,high,,,,,,,innovation,innovation_instruments,,,public,unknown,growth_supporting,"The initiative aims to enhance productivity and job creation, which are essential for economic growth.",medium,Innovate Australia Initiative,,False,announced,The initiative has been officially announced but not yet legislated.,high,True,3,The announcement of a comprehensive initiative represents a significant step towards enhancing innovation in Australia.,medium,"The Prime Minister delivered a statement entitled Innovate Australia, announcing a range of measures designed to underpin productivity growth and the creation of new industries and jobs.",The Prime Minister delivered a statement entitled Innovate Australia announcing a range of measures designed to underpin productivity growth and the creation of new industries and jobs.,203.0,203.0,2.0,borderline,escalate_to_llm,exclude,"The measures announced are aimed at productivity growth and job creation, not directly at R&D.",,,203.0,simplify the operation and structure of collective investment schemes to reduce opera- tional costs and improve management responsibility. The Prime Minister delivered a statement entitled Innovate Australia announcing a range of measures designed to underpin,0.581
AUS_1999_002,AUS,Australia,1999,1998.0,,,,,,,,explicit,high,innovation,human_capital,,,public,basic,growth_supporting,Encouraging later retirement can help maintain a skilled workforce and support economic productivity.,high,Pension Employment Incentive Scheme,,False,implemented,The scheme has been introduced and is operational.,high,False,2,The reform is significant in its aim to influence workforce participation but is not as large-scale as the R&D funding measures.,medium,"The Australian government introduced a scheme providing a bonus for individuals who defer taking up the age pension and remain in full-time employment, aimed at encouraging later retirement.",The government introduced in July 1998 a scheme which provides a bonus to persons who remain in full-time employment and defer taking up the age pension.,141.0,141.0,1.0,borderline,escalate_to_llm,exclude,The scheme encourages later retirement and is not related to R&D.,,,141.0,"the disincentive to late retirement, the government introduced in July 1998 a scheme which provides a bonus to persons who remain in full-time employment and defer taking up the age pension. The bonus is weighted",0.834
AUS_2000_001,AUS,Australia,2000,2000.0,1999.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public,basic,growth_supporting,"Improving literacy outcomes enhances human capital, which is essential for productivity and innovation.",high,Human Capital Development,Literacy and Numeracy Programme,True,implemented,The programme has been actively initiated and is in operation.,high,False,2,"The programme represents a significant effort to enhance educational outcomes, though it is not a structural overhaul.",medium,"The Commonwealth government has initiated the Literacy and Numeracy Programme to improve literacy outcomes in schools, supporting the implementation of national goals and benchmarks for achievement.",The Commonwealth government is making a significant investment in improving literacy outcomes in schools.,70.0,70.0,2.0,borderline,escalate_to_llm,exclude,"The Literacy and Numeracy Programme focuses on education outcomes, not R&D.",,,101.0,"tion and training. To address this problem, the Commonwealth government is making a significant investment in improving literacy outcomes in schools. In co-operation",0.778
AUS_2000_002,AUS,Australia,2000,1997.0,,,,,,,,explicit,high,innovation,human_capital,,,public_private,applied,growth_supporting,"Competency-based qualifications enhance the skills of the workforce, directly contributing to productivity and innovation.",high,Human Capital Development,New Apprenticeship Scheme,True,implemented,The scheme has been actively established and is functioning.,high,False,2,The scheme significantly improves the apprenticeship system but does not represent a complete overhaul.,medium,"The New Apprenticeship scheme was established to provide competency-based qualifications that are nationally recognised, making the system more flexible and responsive to user needs.",The New Apprenticeship scheme was established in 1997 to provide competency-based qualifications that are nationally recognised.,104.0,104.0,1.0,borderline,escalate_to_llm,exclude,"The New Apprenticeship scheme focuses on vocational qualifications, not R&D.",,,104.0,ening and expanding vocational education and training The New Apprenticeship scheme was established in 1997. It provides competency-based qualifications that are nationally recognised. New,0.804
AUS_2003_001,AUS,Australia,2003,1996.0,1996.0,explicit,high,1996.0,explicit,high,,explicit,high,innovation,human_capital,other,,public_private,applied,growth_supporting,Enhancing productivity through improved industrial relations is expected to lead to higher economic output.,high,Industrial Relations Reform,Decentralised Bargaining Initiative,False,implemented,The reforms have been in effect since their introduction in 1996.,high,True,3,The reform represents a significant structural change in industrial relations aimed at improving productivity.,high,"The reforms of industrial relations arrangements in Australia, initiated in 1987 and intensified through the Workplace Relations Act 1996, aimed to enhance productivity by promoting decentralised bargaining and reducing regulatory barriers for small and medium-sized firms.",The reforms introduced a large measure of regulatory flexibility in the industrial relations system especially by facilitating and encouraging the setting of wages and employment conditions at the enterprise level.,87.0,87.0,1.0,borderline,escalate_to_llm,exclude,"The reforms are related to industrial relations and productivity, not R&D.",,,87.0,ly focussing on the domestic market and often employing outdated technologies. The reforms introduced a large measure of regulatory flexibility in the industrial relations system109 especially by facilitating and encouraging the setting of wages and employment conditions at the enterprise level. Am,0.834
AUS_2008_004,AUS,Australia,2008,2010.0,2008.0,explicit,high,,,,,explicit,high,innovation,research_infrastructure,,,public_private,adoption,growth_supporting,"This initiative aims to improve digital infrastructure, which is critical for innovation and economic development.",high,Broadband Infrastructure Initiative,Fibre Optic Network Development,False,announced,The plans for the fibre optic network have been publicly announced and are in the planning stages.,high,True,3,The establishment of a national broadband network represents a significant investment in infrastructure.,high,"The Australian government plans to establish a private/public partnership to build a fibre optic network, contributing up to AUD4.7 billion to ensure 98% of the population has access to high-speed broadband connections, while also considering a functional separation between infrastructure management and marketing activities to encourage the construction of this network.","The government is planning to establish a private/public partnership to build a FTTN fibre optic network, with a government contribution of up to AUD4.7 billion.",120.0,120.0,1.0,borderline,escalate_to_llm,exclude,"The fibre optic network is primarily an infrastructure project, not specifically for research purposes.",,,120.0,"ainst this backdrop that the government is planning to establish a private/public partnership to build a FTTN12 fibre optic network, with a government contribution of up to AUD4.7billion, so that 98% of the population can hav",0.824
