reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,tax_score,score_band,filter_decision
AUS_1998_001,AUS,Australia,1998,1998.0,,,,,,,,explicit,high,other,other,,,public,unknown,growth_supporting,"By simplifying compliance processes, the initiative aims to lower the administrative burden on businesses, potentially fostering entrepreneurship and innovation.",high,1998 Compliance Burden Reduction Initiative,,False,announced,The government intends to establish a single registration process by mid-1998.,high,False,2,"This reform represents a significant step towards reducing compliance costs for businesses, which can enhance their operational efficiency and encourage new enterprise creation.",medium,The Australian government intends to establish a single registration process for various taxation and regulatory bodies to reduce duplication of reporting for businesses.,"By mid-1998 the government intends to establish a single registration process for the Taxation Office, Securities Commission, Bureau of Statistics and the Insurance and Superannuation Commission.",139.0,139.0,0.0,drop,drop_rule_based
AUS_2001_004,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The package is designed to stimulate R&D investment and innovation, which are critical for economic growth and competitiveness.",high,Backing Australia’s Ability,,False,implemented,The measures are set to be implemented over the next five years.,high,True,3,"This reform represents a significant investment in innovation infrastructure and R&D, aiming to close the gap with OECD averages and enhance Australia's competitive position.",high,"The Australian government launched a A$3 billion innovation package, Backing Australia’s Ability, aimed at enhancing the country's capacity for research, encouraging the commercialization of ideas, and developing skills over the next five years.","Recognising the importance of innovation as a driver of sustainable economic growth and increased competitiveness, the government launched in January 2001 a A$3 billion innovation package, Backing Australia’s Ability.",107.0,107.0,0.0,drop,drop_rule_based
AUS_2003_002,AUS,Australia,2003,2002.0,2002.0,explicit,high,2002.0,explicit,high,,explicit,high,innovation,innovation_instruments,,,public,unknown,growth_supporting,"Simplifying federal awards is expected to improve regulatory flexibility, potentially leading to increased productivity.",medium,Workplace Award Simplification,Award Simplification,False,implemented,The legislation has been enacted and is currently in effect.,high,False,2,The reform is significant in enhancing regulatory flexibility but does not represent a major overhaul.,medium,"The Australian Government has introduced legislation to simplify federal awards, aiming to define and specify allowable award matters more clearly, which is expected to enhance regulatory flexibility in workplace arrangements.","The Workplace Relations Amendment (Award Simplification) Bill 2002, if passed, will more clearly define and specify allowable award matters and incidental matters.",100.0,100.0,0.0,drop,drop_rule_based
AUS_2004_002,AUS,Australia,2004,2004.0,,,,,,,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"By addressing skill shortages and enhancing workforce capabilities, this initiative is expected to improve productivity and support economic growth.",high,Skills Development Initiative,,False,implemented,The strategy has been executed and is actively addressing skill shortages.,high,False,2,"The initiative represents a significant effort to improve skills in the workforce, although it is not as transformative as the higher education funding reform.",medium,"The Australian Government launched the National Skills Shortages Strategy to address skill shortages in key industries, incorporating new approaches to apprenticeships and encouraging regional collaboration.","In 2004, the government launched the National Skills Shortages Strategy to tackle skill shortages in key industries throughout the country.",237.0,237.0,0.0,drop,drop_rule_based
AUS_2006_001,AUS,Australia,2006,2004.0,,,,,,,,explicit,high,innovation,other,,,public_private,unknown,growth_supporting,"The initiative aims to improve water access and market efficiency, which can enhance productivity in various sectors.",high,National Water Initiative,,False,implemented,The NWI has been fully implemented as part of Australia's water reform agenda.,high,True,3,The NWI represents a significant structural change in water management policy.,high,"The National Water Initiative (NWI) was agreed upon to enhance water reform in Australia, focusing on improving the security of water access entitlements and encouraging the expansion of water markets and trading.","The NWI aims to improve the security of water access entitlements, ensure ecosystems’ health and encourage the expansion of water markets and trading.",115.0,115.0,0.0,drop,drop_rule_based
AUS_2006_002,AUS,Australia,2006,2006.0,2006.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public_private,applied,growth_supporting,"The focus on health, education, and training is expected to enhance the skills and capabilities of the workforce, driving innovation and productivity.",high,National Reform Agenda,,False,implemented,The agenda has been actively pursued and implemented by COAG since its agreement.,high,True,3,The National Reform Agenda represents a comprehensive approach to reforming human capital development in Australia.,high,"In February 2006, COAG agreed to collaborate on the implementation of a new National Reform Agenda that includes a human capital agenda focusing on health, education, and training, alongside traditional areas of competition and regulatory reform.","In February 2006, COAG agreed to collaborate on the implementation of a new National Reform Agenda to enhance productivity and labour force participation.",,,0.0,drop,drop_rule_based
AUS_2008_005,AUS,Australia,2008,2008.0,2008.0,explicit,high,,,,,explicit,high,innovation,other,,,public,applied,growth_supporting,"This plan aims to enhance water resource management, which is vital for sustainable development and economic growth.",high,Water Resource Management,National Information System Development,False,implemented,The plan has been implemented as part of the government's strategy for water resource management.,high,True,3,The plan represents a significant investment in water management infrastructure.,high,"The Water for the Future plan, with a budget of AUD12.9 billion over ten years, aims to improve the governance of the Murray-Darling Basin and develop an integrated management system for water resources, including a national information system for water data.","The new national plan, Water for the Future, aims to improve the governance of the MDB and to develop an integrated management of the Basin.",146.0,146.0,0.0,drop,drop_rule_based
AUS_2021_007,AUS,Australia,2021,2020.0,2020.0,explicit,high,,,,,explicit,high,innovation,research_infrastructure,,,public,adoption,growth_supporting,"By improving digital infrastructure and services, the reform aims to enhance efficiency in public service delivery and support innovation in the private sector.",high,2020 Digital Business Plan,,False,implemented,Key initiatives of the Digital Business Plan were announced and funding allocated in September 2020.,high,False,2,"The Digital Business Plan represents a significant investment in digital infrastructure, which is essential for modernizing public services and fostering innovation.",medium,"The Government announced the AUD800 million Digital Business Plan to enhance digital government services, including the development of a Digital Identity system and the Modernising Business Registers program.","In September 2020, the Government announced the AUD800m Digital Business Plan.",48.0,48.0,-4.0,drop,drop_rule_based
AUS_2021_017,AUS,Australia,2021,2020.0,2020.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"By providing equity investment to SMEs, the fund aims to alleviate financing constraints, thereby supporting their growth and innovation potential.",high,Australian Business Growth Fund,,False,implemented,The government launched the AUD540 million Australian Business Growth Fund.,high,False,2,"This fund represents a significant but narrower initiative aimed at supporting SMEs, which are crucial for innovation and economic growth.",medium,"The Australian government launched the AUD540 million Australian Business Growth Fund to ease financing constraints for SMEs through equity investment, with a focus on established firms rather than high-growth startups.",In 2020 the government launched the AUD540 million Australian Business Growth Fund with AUD100 million of public funds and the remainder from six banks.,,,0.0,drop,drop_rule_based
AUS_2021_011,AUS,Australia,2021,2021.0,2020.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"By facilitating easier restructuring, the reform helps viable firms to survive and adapt, thereby supporting overall economic productivity and innovation.",high,2021 Small Business Restructuring Initiative,,False,implemented,The new restructuring and liquidation processes have been established and are in effect.,high,True,3,"This reform represents a significant overhaul of the insolvency framework for SMEs, which is crucial for maintaining entrepreneurship and innovation in the economy.",high,"The Australian government has introduced a special restructuring process and simplified liquidation process for incorporated SMEs, aimed at reducing costs and encouraging earlier action to preserve economic value.",The government has created a special restructuring process and simplified liquidation process for incorporated SMEs.,87.0,87.0,0.0,drop,drop_rule_based
