canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
"Total Climate, Biodiversity and Pollution",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Supports research in climate and environmental issues.,rd_programme,0.7,"Total Climate, Biodiversity and Pollution",1,26781360000.0,confidence below threshold,Norway
Total Higher Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Supports higher education institutions involved in R&D.,higher_education,0.7,Total Higher Education,1,14265898000.0,confidence below threshold,Norway
Basic Funding for State Colleges,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Supports colleges that may engage in R&D.,rd_fund,0.7,Basic funding for state colleges,1,5199124000.0,confidence below threshold,Norway
University of Trondheim Budget,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Universities typically engage in significant research activities.,higher_education,0.7,Total budget for University of Trondheim,1,1065217000.0,confidence below threshold,Norway
Major Equipment Purchases and Maintenance,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Funding for major equipment can support R&D activities.,rd_fund,0.6,"Major equipment purchases and maintenance, can be transferred",2,154075500.0,confidence below threshold,Norway
Post 70 Grant to Pre-seed Fund,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This grant supports early-stage research funding.,rd_fund,0.7,Post 70 Grant to pre-seed fund,1,50000000.0,confidence below threshold,Norway
Appropriation for Tele-X Satellite Project,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This appropriation supports a satellite research project.,rd_programme,0.7,Appropriation for the satellite project Tele-X,1,45000000.0,confidence below threshold,Norway
Allocation to Norwegian Geological Survey,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Supports geological research initiatives.,rd_programme,0.6,The allocation to the Norwegian Geological Survey is proposed to be 40 million kroner compared to 36.4 million in 1976.,1,40000000.0,confidence below threshold,Norway
Appropriation to State Technology Institute,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Supports technology-related research.,rd_programme,0.7,Appropriation to the State Technology Institute,1,39400000.0,confidence below threshold,Norway
Internationalization of Petroleum Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This entity supports R&D in the petroleum sector.,rd_programme,0.6,"Internationalization of petroleum activities, can be transferred",1,19850000.0,confidence below threshold,Norway
Grants for Marine Littering Measures,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",These grants support research and measures against marine littering.,rd_programme,0.7,Grants for measures against marine littering,1,15000000.0,confidence below threshold,Norway
Trials and Development in Dental Health Services,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program supports R&D in dental health services.,rd_programme,0.7,"Trials and development in dental health services, can be used under post 70",1,9100000.0,confidence below threshold,Norway
Scientific Equipment Funding,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Funding for scientific equipment can support R&D efforts.,rd_fund,0.6,"Scientific equipment, can be transferred",2,6242500.0,confidence below threshold,Norway
Major Equipment Purchases and Maintenance,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Funding for major equipment can support R&D activities.,rd_fund,0.6,"Major Equipment Purchases and Maintenance, can be transferred",1,6000000.0,confidence below threshold,Norway
Assignment Expenses for Research Vessels,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Expenses related to research vessels are relevant to R&D activities.,rd_programme,0.7,"Oppdragsutgifter forskningsfartøy, kan overføres",1,319034.0,confidence below threshold,Norway
International Space Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This involves research activities related to international space initiatives.,rd_programme,0.7,Internasjonal romvirksomhet,4,290162.5,confidence below threshold,Norway
International collaborative projects,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Collaborative projects often involve R&D activities.,rd_programme,0.7,Internasjonale samarbeidsprosjekt,1,166297.0,confidence below threshold,Norway
Materials research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Focus on materials research indicates R&D relevance.,rd_programme,0.7,Materialforskning,1,75000.0,confidence below threshold,Norway
Grants to Norwegian Institute of International Affairs,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This grant supports research activities at a prominent research institute.,rd_fund,0.7,Grants to Norwegian Institute of International Affairs,2,65000.0,confidence below threshold,Norway
Participation in the MAB Program,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program involves research related to biosphere reserves.,rd_programme,0.7,Participation in the MAB program,1,50000.0,confidence below threshold,Norway
Business-oriented Competence Transfer,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program focuses on transferring knowledge and skills to businesses.,rd_programme,0.65,Bedriftsrettet kompetanseoverføring,1,41000.0,confidence below threshold,Norway
Grants to the Royal Norwegian Society of Sciences and Letters,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This grant supports scientific research and activities of the society.,rd_fund,0.7,Grants to the Royal Norwegian Society of Sciences and Letters,1,37000.0,confidence below threshold,Norway
Pollution Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program focuses on research related to pollution and environmental impact.,rd_programme,0.65,Forurensninger,1,26000.0,confidence below threshold,Norway
Grants to Development Fund,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This fund likely supports development-related R&D activities.,rd_fund,0.7,Grants to Development Fund,1,15500.0,confidence below threshold,Norway
