reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,tax_score,score_band,filter_decision,llm_decision,llm_rationale,activity_lens,defence_scope,source_page_recovered,source_quote_verified,source_match_score,year_flag
AUS_1979_001,AUS,Australia,1979,,,,,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,"Enhancing industrial research and development is expected to boost productivity and competitiveness in the manufacturing sector, leading to economic growth.",high,Crawford Report Recommendations,Increased Assistance for Industrial R&D,False,announced,The Crawford Report was released with recommendations for government assistance.,high,False,2,"The recommendation for increased assistance represents a significant policy direction aimed at enhancing R&D in the industrial sector, which is crucial for economic competitiveness.",medium,The Crawford Report on structural adjustment recommended increased government assistance for industrial research and development to promote a more export-oriented manufacturing sector.,The Crawford Report on structural adjustment was released. The report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector including... increased government assistance for industrial research and development.,55.0,55.0,2.5,borderline,escalate_to_llm,include,The Crawford Report recommends increased government assistance for industrial research and development.,K2,,55.0,Australia 53 6th March The Crawford Report on structural adjustment was released. The report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector including: further assistance under the export incentive grants scheme; increased government assistance for industrial research and development; a gradual reduction of tari,0.822,ok
AUS_1980_001,AUS,Australia,1980,,,,,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,"Enhancing funding for industrial R&D is expected to boost innovation and competitiveness in the manufacturing sector, leading to economic growth.",high,Crawford Report Recommendations,Increased Assistance for Industrial R&D,False,announced,The Crawford Report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector.,high,False,2,"The recommendation for increased government assistance for industrial R&D is significant as it aims to enhance the competitiveness of the manufacturing sector, which is crucial for economic growth.",medium,The Crawford Report on structural adjustment recommended increased government assistance for industrial research and development to promote a more export-oriented manufacturing sector.,The Crawford Report on structural adjustment was released. The report contained a number of recommendations designed to promote the development of a more export-oriented manufacturing sector including... increased government assistance for industrial research and development.,66.0,66.0,2.5,borderline,escalate_to_llm,include,The Crawford Report recommends increased government assistance for industrial research and development.,K2,,66.0,64 6thMarch The Crawford Report on structural adjustment was released The report contained a number of recommendationsdesignedtopromote thedevelopmentofamoreexport-orientedmanufacturingsector including: further assistance under the export incentive grants scheme; increased government assistance for industrial research and development; a gradual reduction oftariffprotectioa 9thMarch I,0.789,ok
AUS_1983_002,AUS,Australia,1983,,,,,,,,,,,innovation,rd_funding,,,public,applied,growth_supporting,"Continuing the Industrial Research and Development Incentives Scheme supports ongoing public funding for R&D, which is crucial for innovation and economic growth.",high,Industrial R&D Incentives,Industrial R&D Incentives Scheme,False,implemented,The scheme has been maintained and is currently operational.,high,False,2,"This reform is significant as it ensures the continuity of funding for industrial R&D, but it does not introduce major changes to the existing framework.",medium,The Government decided that the Industrial Research and Development Incentives Scheme should continue without any major changes.,The Industrial Research and Development Incentives Scheme should continue without any major changes.,,,3.5,keep,keep_rule_based,include,"The reform continues the Industrial Research and Development Incentives Scheme, which directly supports R&D funding.",K4,,61.0,ciation at a primecost rateof2.5percent. The Government had alsodecided: - thattheIndustrialResearchandDevelopmentIncentivesSchemeshouldcontinuewithoutanymajor,0.685,ok
AUS_1987_001,AUS,Australia,1987,,,,,,,,,,,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"The tax deduction incentivizes private R&D investment, while the committee fosters collaboration, both of which enhance innovation and productivity.",high,R&D Incentives and Industry Collaboration,R&D Tax Deduction and Industry Committee,True,implemented,The tax deduction and committee have been operational since their introduction.,high,True,3,The introduction of a significant tax incentive and the establishment of a committee represent major structural changes in the innovation policy landscape.,high,"The Australian Government introduced a 150 percent tax deduction for R&D and established a Standing Committee on Tertiary Education/Industry relationships to enhance cooperation between the higher education system and industry needs, aiming to induce research and development through cooperative ventures.",A Standing Committee on Tertiary Education/Industry relationships was established in late 1985 to indicate areas where the higher education system can become more responsive to industry needs.,,,2.5,borderline,escalate_to_llm,include,The introduction of a 150 percent tax deduction for R&D directly incentivizes research and development activities.,K2,,75.0,"inthe Labour Market, Council Paper No. 21, June 1986. 79. AStandingCommitteeonTertiaryEducation/Industryrelationshipswasestablishedinlate 1985 toindicateareaswherethehighereducationsystemcanbecomemoreresponsivetoindustryneeds. A number ofco-operative ventures with bu",0.735,ok
AUS_1988_001,AUS,Australia,1988,2019.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"The reforms aim to enhance R&D efficiency and address market imperfections, which are expected to stimulate private sector investment and improve workforce skills.",high,R&D and Innovation Policy Reform,Public Laboratory Efficiency and Apprenticeship Restructuring,True,implemented,The reforms have been put into practice as indicated by their implementation status.,high,False,2,"While the reforms are significant in scope, they do not represent a structural overhaul but rather adjustments to existing policies.",medium,"The Government has modified its policies regarding R&D and innovation to improve the efficiency of publicly-funded laboratories and better direct their efforts towards industry needs, while also supporting co-operative pre-competitive research in key fields. Additionally, the Australian government has introduced a delayed removal of concessions for research and development expenditure, allowing time to address market imperfections that may have led to under-investment in R&D activities. Furthermore, the Commonwealth Government has restructured assistance to apprenticeships, moving from direct wage subsidies to incentives aimed at maintaining high levels of apprenticeship recruitment and improving training quality.","Assistance to apprenticeships (CRAFT) has recently been restructured. Direct wage subsidies have been abandoned in favour of incentives to maintain a high level of apprenticeship recruitment, to complete training and to improve its quality.",78.0,78.0,14.0,keep,keep_rule_based,include,The reform modifies policies regarding R&D and innovation to improve the efficiency of publicly-funded laboratories and support co-operative pre-competitive research.,K2,,78.0,"llowances with aview to reducingtheincentive to dropout ofschool and to increasing training91; - Assistance to apprenticeships (CRAFT) has recently been restructured. Direct wage subsidies have been abandoned in favour of incentives to maintainahighlevelofapprenticeshiprecruitment,tocompletetrainingand to improve its quality; - In con",0.795,suspicious
AUS_1988_002,AUS,Australia,1988,,,,,,,,,,,innovation,rd_funding,,,private,applied,growth_supporting,"The tax deduction is designed to incentivize private sector investment in R&D, which is expected to enhance innovation and productivity.",high,R&D Tax Incentive,,False,announced,The reform was introduced in 1985 and is set to change in 1991.,high,True,3,The introduction of a significant tax incentive for R&D represents a major reform in the funding landscape for private sector innovation.,high,"The Government introduced a 150 per cent R&D expenditure deduction against tax in 1985 to promote increased private sector R&D spending, which will be reduced to 100 per cent from July 1991.",The Government introduced in 1985 the 150 per cent R&D expenditure deduction against tax to promote increased private sector R&D spending.,52.0,52.0,6.0,keep,keep_rule_based,include,The introduction of a 150 percent R&D expenditure deduction against tax promotes increased private sector R&D spending.,K2,,52.0,"hecommercialisationofindigenousinnovation. Finally, the Government introduced in 1985 the 150 per cent R&D expenditure deduction against tax topromote increased private sector R&D spending. IntheMay",0.815,ok
AUS_1994_001,AUS,Australia,1994,1992.0,1992.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The tax concession and increased funding are designed to enhance R&D activities, which can lead to higher productivity and innovation.",high,R&D Tax Incentives and Funding,R&D Tax Concession,True,implemented,The tax concession and funding measures have been reaffirmed and are currently in effect.,high,True,3,The introduction of a significant tax concession and increased public funding represents a major reform in R&D policy.,high,"The Government has introduced a 150 per cent tax concession for R&D to stimulate research and development activities, alongside increased spending on public infrastructure projects and tax incentives to encourage investment, including accelerated depreciation allowances for plant and equipment.","The budget included increased spending on public infrastructure projects and labour market programmes. Taxation measures included the introduction of new royalty withholding tax arrangements, the extension of the Fringe Benefits Tax to include employer provided parking and the maintenance of the 150 per cent write off for eligible research and development expenditure.",,,11.0,keep,keep_rule_based,include,The reform introduces a 150 per cent tax concession for R&D to stimulate research and development activities.,K2,,124.0,", an increase ofA$4 billion on 1991/92. The budget included increased spending on public infrastructure projects and labour market programmes. Taxationmeasuresincludedtheintroduction ofnewroyalty withholdingtax arrangements, the extension of the Fringe Benefits Tax to include employer provided parking and the maintenance of the 150 per cent write off for eligible research and development expenditure. In conjunction withthe 1992/93 budget, theTreasurerreleased a statement, Working for the Future: Jobs, Skills, Inn",0.818,ok
AUS_1994_002,AUS,Australia,1994,,1991.0,explicit,high,,,,,,,innovation,knowledge_transfer,,,public_private,applied,growth_supporting,"The establishment of Co-operative Research Centres is aimed at enhancing collaboration between sectors, which can lead to innovation and economic growth.",high,Co-operative Research Centres Initiative,,False,announced,The formation of Co-operative Research Centres has been officially announced.,high,False,2,The initiative represents a significant effort to enhance collaboration in research but is not as transformative as the tax concession reform.,medium,"The Government announced the formation of up to 62 Co-operative Research Centres to promote joint research by universities, government, and industry.","In 1991 the Government announced the formation of up to 62 Co-operative Research Centres designed to promote joint research by universities, government and industry.",76.0,76.0,2.0,borderline,escalate_to_llm,include,"The formation of Co-operative Research Centres promotes joint research, directly supporting knowledge transfer and R&D.",K6,,76.0,"ntroduced in 1985 and reconfirmed in 1992; in 1991 the Government announced the formation of up to 62 Co-operative Research Centres designed to promotejoint research by univer¬ sities, government and industry; and the major Govern",0.825,ok
AUS_1995_001,AUS,Australia,1995,,1995.0,explicit,high,,,,,,,innovation,sectoral_rd,,,public,applied,growth_supporting,"The establishment of advisory committees and funding centres is expected to enhance the efficiency and effectiveness of health technology management, leading to better health outcomes and cost savings.",high,Health Technology Reform Package,Health Technology Advisory and Funding Centres,True,announced,Both initiatives have been announced but not yet implemented.,high,False,2,These reforms represent significant but narrower changes aimed at improving health technology evaluation and funding.,medium,"The Australian Health Technology Advisory Committee was established to evaluate existing and emerging medical technologies, providing recommendations to governments and health providers to manage costs and benefits effectively. Additionally, the National Funded Centres programme was created to manage high-cost medical interventions, ensuring concentration of skills and controlling costs through capped grants.",The Australian Health Technology Advisory Committee was established under the auspices of the National Health and Medical Research Council to evaluate existing and emerging technologies.,,,12.5,keep,keep_rule_based,include,"The establishment of the Australian Health Technology Advisory Committee relates to evaluating medical technologies, which aligns with sectoral R&D.",K2,,114.0,rationalising the spread of new technologies. The Australian Health Technology Advisory Committee was established under the auspices of the National Health and Medical Research Council to evaluate existing and emerging technologies and to make recommendations,0.83,ok
AUS_1997_001,AUS,Australia,1997,1997.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"Increased funding for R&D is expected to enhance research capabilities and innovation, contributing positively to economic growth.",high,Increased R&D Funding,Higher Education R&D Funding,True,implemented,The funding programme has been successfully introduced and is currently in operation.,high,True,3,The significant increase in funding represents a structural change in public investment in R&D.,high,"The Australian government has significantly increased funding for research in higher education institutions, tripling it from A$ 480 million in 1983/84 to an estimated A$ 1.5 billion in 1995/96. Additionally, a new R&D funding programme called START has been introduced, allocating A$ 340 million over four years in competitive grants to support research and development.",Government funding for research in higher education institutions tripled from A$ 480 million in 1983/84 to an estimated A$ 1.5 billion in 1995/96.,119.0,119.0,14.0,keep,keep_rule_based,include,The government significantly increased funding for research in higher education institutions and introduced a new R&D funding programme.,K4,,119.0,"public research sectors. Government funding for research in higher education institutions tripled from A$ 480 million in 1983/84 to an estimated A$ 1.5 billion in 1995/96, which implies an increase in volu",0.824,ok
AUS_1997_002,AUS,Australia,1997,1992.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"The R&D tax concession incentivizes private sector investment in R&D, which is crucial for innovation and economic growth.",high,R&D Tax Concession,R&D Tax Concession Implementation,True,implemented,The R&D tax concession has been in effect and is actively stimulating business R&D.,high,True,3,"The R&D tax concession represents a significant reform in the innovation support system, encouraging private sector R&D.",high,"The introduction of a 150 per cent R&D tax concession has been a key feature of Australia's technology policy, significantly stimulating business sector R&D spending. The government continues to analyze the cost/benefit of technology-related programmes and monitor the effects of changes to the R&D tax concession.",Continue the cost/benefit analysis of technology-related programmes and monitor the effects of changes to the R&D tax concession on business research spending.,89.0,89.0,7.5,keep,keep_rule_based,include,The introduction of a 150 per cent R&D tax concession significantly stimulates business sector R&D spending.,K2,,89.0,the national competition policy. Enhance innovative performance – Continue the cost/benefit analysis of technology-related programmes and monitor the effects of changes to the R&D tax concession on business research spendi,0.835,ok
