canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
University Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",University education often includes R&D activities.,higher_education,0.7,University Education,1,6494250000.0,confidence below threshold,Finland
Operating Expenses for Universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Operating expenses may support R&D activities.,higher_education,0.6,Operating expenses for universities (transfer appropriation 2 years),1,5454482000.0,confidence below threshold,Finland
Common Expenses of the University System,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Common expenses may support R&D indirectly.,higher_education,0.5,Common expenses of the university system (part of EU) (transfer appropriation 3 years),1,5246311000.0,confidence below threshold,Finland
Operating Costs for Universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Operating costs may support R&D activities.,higher_education,0.6,Operating costs for universities (transfer appropriation 2 years),1,5005000000.0,confidence below threshold,Finland
Proposed Funding for Higher Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Funding for higher education may include R&D.,higher_education,0.5,"Proposed funding for higher education is 3,353 million mk",1,3353000000.0,confidence below threshold,Finland
Gambling Activities Return for Science,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","Similar to the previous entry, this funding promotes science through gambling returns.",rd_fund,0.7,Return from gambling activities for promoting science (proposed appropriation),1,76261000.0,confidence below threshold,Finland
Gaming Activities Return for Science,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This funding is intended to promote scientific research through gaming returns.,rd_fund,0.7,Return from gaming activities for the promotion of science (proposal appropriation),1,76261000.0,confidence below threshold,Finland
Venture Capital Fund Grant,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This grant supports innovation and development through venture capital.,rd_fund,0.7,Grant for venture capital fund for Kehitysaluerahasto Oy,1,35000000.0,confidence below threshold,Finland
Industry and Sector Organization Grants,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",These grants support R&D initiatives within industry and sector organizations.,rd_fund,0.7,Grants for promoting industry and sector organizations,1,28000000.0,confidence below threshold,Finland
Internationalization Grant for Joint Projects,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This grant supports international collaboration among companies.,rd_fund,0.7,Internationalization grant for joint projects of companies (estimated appropriation),1,22480000.0,confidence below threshold,Finland
Internationalization Support for Joint Projects,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This funding supports joint international projects among companies.,rd_fund,0.7,Internationalization support for companies' joint projects,1,21985000.0,confidence below threshold,Finland
Grants for International Technical and Economic Cooperation,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",These grants may support R&D in international cooperation projects.,rd_fund,0.7,Grants for international technical and economic cooperation projects (transfer appropriation),1,16000000.0,confidence below threshold,Finland
International Technical Cooperation,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program supports international R&D cooperation.,rd_programme,0.7,International technical cooperation (transfer appropriation),2,7250000.0,confidence below threshold,Finland
University of Joensuu,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Universities typically engage in R&D activities.,higher_education,0.7,University of Joensuu,2,2450000.0,confidence below threshold,Finland
National Measurement Sites Development,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This appropriation supports the development of measurement sites, which involves research.",rd_programme,0.7,Development of national measurement sites (transfer appropriation),1,2000000.0,confidence below threshold,Finland
Environmental and Nature Conservation Projects,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Involvement in environmental projects typically includes research components.,rd_programme,0.7,Participation in environmental and nature conservation projects,1,2000000.0,confidence below threshold,Finland
Grants for Peat and Wood Resource Utilization,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",These grants likely support research into resource utilization.,rd_programme,0.7,Grants for promoting the utilization of peat and wood raw material resources,1,1000000.0,confidence below threshold,Finland
University of Vaasa,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Universities typically engage in R&D activities.,higher_education,0.6,University of Vaasa,2,265000.0,confidence below threshold,Finland
Swedish School of Economics,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This institution likely conducts research in economics.,higher_education,0.6,Swedish School of Economics,2,200000.0,confidence below threshold,Finland
Lapland University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Universities are involved in research and development.,higher_education,0.6,Lapland University,1,200000.0,confidence below threshold,Finland
University of Art and Design,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This university likely engages in research related to art and design.,higher_education,0.6,University of Art and Design,1,70000.0,confidence below threshold,Finland
