reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end
CAN_1992_001,CAN,Canada,1992,1992.0,,,,1991.0,explicit,high,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"Investing in training for the unemployed enhances human capital, which can lead to increased productivity and economic growth.",high,Unemployment Insurance Reform,Unemployment Insurance Reform,False,implemented,The reform has been put into effect as part of the unemployment insurance system.,high,False,2,"The reform significantly alters the funding allocation within the unemployment insurance system, impacting training opportunities.",medium,"The reform of the unemployment-insurance system has directed more funds towards training for the unemployed, while reducing the generosity of the system by reducing the maximum duration of benefits and increasing the minimum period of work required to qualify for benefits.","Under the Labour Force Development Strategy, funding for training was raised from C$ 0.5 billion in 1990 to C$ 2 billion in 1992.",78.0,78.0
CAN_1993_001,CAN,Canada,1993,1993.0,1992.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"Enhancing support for active labour-market policies is expected to improve workforce skills and employability, contributing positively to economic growth.",high,Active Labour-Market Policies Enhancement,,False,implemented,The funding increase was executed in 1993.,high,False,2,The increase in funding for training and adjustment is significant but not a structural overhaul.,medium,"The government increased the training and adjustment uses of unemployment insurance funds to C$ 2.2 billion in 1993, significantly enhancing support for active labour-market policies.","Furthermore, the training and adjustment uses of UI funds were increased to C$ 2.2 billion in 1993, more than four times the amount budgeted in 1990.",,
CAN_1993_002,CAN,Canada,1993,1993.0,1992.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public,applied,growth_supporting,Streamlining access to R&D programmes is expected to facilitate innovation and improve the efficiency of R&D investments by corporations.,high,R&D Program Streamlining,,False,implemented,The announcement was made in 1993 and has been executed.,high,False,2,The intention to streamline R&D programmes is significant but does not represent a major overhaul of the system.,medium,"The government announced its intention to streamline delivery of and access to R&D programmes and services, enhancing support for Canadian corporations undertaking R&D.","At the same time, it announced its intention to streamline delivery of and access to R&D programmes and services.",61.0,61.0
CAN_1994_001,CAN,Canada,1994,1994.0,1994.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,"These initiatives are designed to enhance technological innovation and support small businesses, which are key drivers of economic growth.",high,Innovation Promotion Package,Innovation Initiatives,True,implemented,The initiatives have been actively implemented as part of the government's strategy.,high,True,3,The reforms represent a significant overhaul of the support mechanisms for innovation and small businesses.,high,"The Government is taking initiatives to promote innovative activities in Canada, including support for the development of environmental technologies, the establishment of new industrial-policy programmes, and measures to reform the unemployment-insurance system, enhance job training, and support small businesses.","The new Government has already taken measures to reform the unemployment-insurance system, enhance job training, support small businesses, and promote technological innovation.",,
CAN_1994_002,CAN,Canada,1994,1994.0,1994.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,private,applied,growth_supporting,Providing long-term capital to innovative companies is essential for fostering their growth and enhancing overall economic productivity.,high,Innovation Funding Package,Canadian Investment Fund,True,implemented,The fund has been established and is operational.,high,False,2,"While significant, this reform is more focused and does not represent a system-wide change.",medium,The Canadian Investment Fund will work with private partners and the financial sector to identify the best way to provide long-term capital to innovative companies.,The Canadian Investment Fund will work with private partners and the financial sector to identify the best way to provide long-term capital to innovative companies.,,
CAN_1995_004,CAN,Canada,1995,1994.0,,,,,,,,explicit,high,innovation,other,,,public,unknown,growth_supporting,"The strategy aims to enhance competitiveness and innovation, which are crucial for economic growth.",high,Comprehensive Industrial Strategy,,False,implemented,The strategy has been officially adopted and is in effect.,high,True,3,The strategy represents a significant structural change in how the government approaches industrial policy.,high,"The Canadian government presented a comprehensive industrial strategy titled 'Building a More Innovative Economy' aimed at increasing international competitiveness and fostering innovation, particularly in SMEs.","In November 1994, the Government of Canada presented in a report entitled Building a More Innovative Economy (BMIE) a comprehensive industrial strategy designed to increase Canada's international competitiveness.",116.0,116.0
CAN_1996_001,CAN,Canada,1996,1996.0,,,,,,,,explicit,high,innovation,rd_funding,knowledge_transfer,,public_private,applied,growth_supporting,"The funding and support programs are designed to enhance innovation and competitiveness, which are expected to raise productivity and economic growth.",high,Technology and Innovation Enhancement,Funding and Support Programs,True,implemented,The reforms were enacted as part of the 1996 Budget and have been operational since then.,high,False,2,"The reforms involve significant funding reallocations and the introduction of new programs aimed at enhancing innovation, but they do not constitute a major overhaul of the system.",medium,"The 1996 Budget reallocates up to C$ 260 million over three years towards technology and innovation, enhancing Canada's competitive edge. Additionally, the Technology Partnerships Canada (TPC) programme was introduced to provide reimbursable financing to firms for close-to-market development of key technologies, while the Canadian Technology Network (CTN) was launched to facilitate access for firms to business expertise and information on technology.","The Canadian Technology Network (CTN), a grouping of industry associations, research organisations, government institutes, and universities, was launched in 1996 to provide firms with quick and easy access to business expertise, advice and information on technology.",114.0,114.0
CAN_1996_002,CAN,Canada,1996,1996.0,1996.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public_private,basic,growth_supporting,"Improving labor mobility and education performance is expected to enhance the skills and capabilities of the workforce, contributing to innovation and economic growth.",high,Human Capital Development,Labor Mobility and Education Performance,True,implemented,Both initiatives have been operational since their introduction in 1996.,high,False,2,These initiatives are significant in improving labor mobility and education performance but do not represent a major systemic change.,medium,"The Internal Agreement on Trade includes a chapter aimed at improving inter-provincial labor mobility by eliminating barriers that restrict workers' access to employment opportunities across provinces. Additionally, a joint project between the Council of Ministers of Education Canada and Statistics Canada has been initiated to develop better measures of the performance of education systems, enhancing research and dissemination of information regarding best practices.",The Agreement has a specific chapter dealing with labour mobility which aims to eliminate existing barriers that prevent a worker qualified for an occupation in one part of Canada having access to employment opportunities in that occupation elsewhere in the country.,,
CAN_1997_001,CAN,Canada,1997,1997.0,1997.0,explicit,high,,,,,explicit,high,innovation,research_infrastructure,,,public,applied,growth_supporting,Enhancing research infrastructure is expected to improve research capacity and innovation outcomes.,high,Canada Foundation for Innovation,Research Infrastructure Investment,True,implemented,The Canada Foundation for Innovation has been operational since its establishment.,high,True,3,The establishment of a national foundation for innovation represents a significant structural change in research funding.,high,"The Canada Foundation for Innovation was established with an investment of C$ 800 million over five years to modernize and enhance research infrastructure at post-secondary institutions and hospitals, thereby supporting research and innovation capacity in Canada.",The creation of a Canada Foundation for Innovation to modernise and enhance research infrastructure at post-secondary institutions and hospitals.,43.0,43.0
CAN_1997_002,CAN,Canada,1997,1997.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,Stimulating private sector investment in R&D is expected to enhance innovation and productivity.,high,R&D Tax Credit for Small Firms,,False,implemented,The tax credit has been in effect since its introduction.,high,True,3,The introduction of a refundable tax credit represents a significant reform in the innovation support system.,high,"Canada introduced a refundable R&D tax credit for small firms, broadening the definition of R&D and technology for tax purposes, which aims to stimulate private sector investment in research and development.",Introduced refundable R&D tax credit for small firms; broadened the definition of R&D and technology for tax purposes.,62.0,62.0
