canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Agricultural Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1981, 1981)","This entity focuses on research in agriculture, which is relevant to R&D.",rd_programme,0.7,Tarımsal araştırmalar,1,1681931000.0,confidence below threshold,Turkey
Budget for Research Projects,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2007, 2008)",This budget is allocated for research projects.,rd_fund,0.7,Araştırma projeleri için ödenek,2,414928500.0,confidence below threshold,Turkey
Ege University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)","As a university, it engages in R&D activities.",higher_education,0.7,Ege Üniversitesi,1,263846000.0,confidence below threshold,Turkey
Selçuk University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)","As a university, it is involved in R&D activities.",higher_education,0.7,Selçuk Üniversitesi,1,214713500.0,confidence below threshold,Turkey
Istanbul University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2006, 2009)",This university conducts various R&D projects.,higher_education,0.7,İstanbul Üniversitesi,3,210917191.5,confidence below threshold,Turkey
Anadolu University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)",This university is engaged in research and development.,higher_education,0.7,Anadolu Üniversitesi,1,205121000.0,confidence below threshold,Turkey
Dokuz Eylul University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)",This university participates in various R&D projects.,higher_education,0.7,Dokuz Eylul Üniversitesi,1,200323000.0,confidence below threshold,Turkey
Uludağ University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)",This university is involved in research and development.,higher_education,0.7,Uludağ Üniversitesi,1,186066000.0,confidence below threshold,Turkey
Gazi University,higher_education,[],"['section_total', 'program_total', 'line_item']","(2006, 2009)",This university conducts various R&D activities.,higher_education,0.7,Gazi Üniversitesi,3,182221131.33333334,confidence below threshold,Turkey
Execution and Development of Theoretical and Laboratory Research Studies,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1979, 1979)",Supports theoretical and laboratory research.,rd_programme,0.7,Teorik ve laboratuvar araştırma çalışmalarının yürütülme ve geliştirilmesi,1,104773000.0,confidence below threshold,Turkey
Execution and Development of Theoretical and Laboratory Research Studies,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1976, 1976)",Supports theoretical and laboratory research.,rd_programme,0.7,TEORİK VE LABORATUVAR ARAŞTIRMA ÇALIŞMALARININ YÜRÜTÜLME VE GELİŞTİRİLMESİ,1,97971800.0,confidence below threshold,Turkey
Higher Education Institutions,higher_education,[],"['section_total', 'program_total', 'line_item']","(1976, 1976)",These institutions are generally involved in R&D activities.,higher_education,0.7,Yükseköğretim Kurumları,1,11100000.0,confidence below threshold,Turkey
Other Economic Transfers and Payments Related to Technological Research,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1976, 1976)",This entity supports technological research through economic transfers.,rd_fund,0.7,Diğer İktisadi Transferler ve Yardıma İlişkin Ödemeler (Teknolojik Araştırma),1,2500000.0,confidence below threshold,Turkey
Directorate of Small and Medium-Sized Industry Development and Support,innovation_instruments,['KOSGEB'],"['section_total', 'program_total', 'line_item']","(2009, 2009)",This entity supports R&D activities in small and medium-sized enterprises.,rd_programme,0.7,KÜÇÜK VE ORTA ÖLÇEKLİ SANAYİ GELİŞTİRME VE DESTEKLEME DAİRESİ BAŞKANLIĞI,1,17465.0,confidence below threshold,Turkey
