reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end
USA_1994_002,USA,United States,1994,1991.0,,,,,,,,explicit,high,innovation,other,,,public,applied,growth_supporting,The flexibility in management and innovative approaches can lead to improved educational outcomes and better prepare students for the workforce.,high,Educational Innovation Initiatives,Charter School Program,True,implemented,Charter schools are operational and functioning independently.,high,False,2,"While significant, the charter school initiative does not represent a comprehensive overhaul of the education system.",medium,"Charter schools have been created and run independently of local school districts, allowing for innovative educational approaches and increased flexibility in school management.",'Charter schools' are another innovation that appears to be spreading. These are public schools that are created and run independently of local school districts.,,
USA_1992_001,USA,United States,1992,1992.0,1992.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public_private,adoption,growth_supporting,"By providing financial assistance to purchase health insurance, the reform aims to increase access to healthcare, which can enhance overall productivity and economic stability.",high,Comprehensive Health Reform Plan,Tax Credits and Deductions,True,announced,The Administration published its proposal in February 1992.,high,True,3,"This reform represents a significant shift in health financing policy, aiming to address the coverage gap for millions of uninsured individuals, which has substantial implications for public health and economic productivity.",high,"The Administration's 'Comprehensive Health Reform Plan' proposed to expand access to health insurance through tax credits and deductions for eligible individuals and families, aiming to cover about 24 million uninsured people.","In February 1992, the Administration published its proposal to build on the current health-financing system by retaining, and enlarging, the role of private-sector insurance.",115.0,115.0
USA_1993_001,USA,United States,1993,1994.0,1993.0,explicit,high,,,,,explicit,high,innovation,rd_funding,knowledge_transfer,,public,applied,growth_supporting,"The proposed budget increase and initiatives are aimed at enhancing technology development and skill training, which are expected to improve productivity and innovation.",high,Innovation and Technology Transfer Initiatives,Technology Development and Training Programs,True,announced,The reforms were proposed in the federal budget for fiscal 1994.,high,True,3,The reforms involve significant budgetary increases and initiatives that represent a major shift in federal policy towards innovation and technology transfer.,high,"The U.S. government proposed a significant budgetary increase for the National Institute of Standards and Technology to support the Advanced Technology Program aimed at developing high-risk generic technologies. Additionally, the Administration intends to promote 'Regional Technology Alliances' and 'Agile Manufacturing Programs' to assist in the exploitation of network externalities and stimulate technology transfer, while also increasing federal efforts in education and skill-training for low-income groups.",The Administration intends to promote 'Regional Technology Alliances' and 'Agile Manufacturing Programs' in order to assist in the exploitation of network externalities.,93.0,93.0
USA_1995_001,USA,United States,1995,1994.0,,,,,,,,explicit,high,innovation,rd_funding,,,public_private,applied,growth_supporting,Enhancing domestic manufacturing capacity in technology is expected to raise productivity and innovation.,high,Technology Reinvestment Project,Flat-Panel Display R&D Funding,False,implemented,The project has been successfully implemented as of 1994.,high,False,2,The allocation of $202 million represents a significant but narrower funding initiative.,medium,"The Technology Reinvestment Project allocated $202 million towards flat-panel display research and development, aiming to enhance domestic manufacturing capacity in this technology area.",The Technology Reinvestment Project gave some $202 million toward flat-panel display research and development in October 1994.,,
USA_1995_002,USA,United States,1995,1994.0,,,,1994.0,explicit,high,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"Improving education and vocational skills is expected to enhance the overall skill level of the workforce, thereby supporting economic growth.",high,Education and Workforce Development Initiatives,,False,implemented,Both initiatives have been successfully implemented as of 1994.,high,True,3,These initiatives represent a major reform in the education system aimed at workforce development.,high,The 'Goals 2000' initiative and the 'School-to-Work Opportunities Act' aim to improve the quality of the education system and enhance workforce skills by establishing national standards and providing seed money for vocational education improvements.,"Goals 2000 seeks to improve the quality of the education system in a variety of ways, including the creation of 'voluntary' national standards for initial education and for vocational skills.",,
USA_1996_001,USA,United States,1996,1996.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"The tax credit incentivizes private sector investment in R&D, which can lead to increased innovation and productivity.",high,Tax Incentives for R&D,Tax Credit for R&E Expenditures,False,implemented,The tax credit has been actively utilized by firms since its introduction.,high,False,2,"While not a major overhaul, the tax credit represents a significant policy tool to encourage R&D investment.",medium,"The government actively promotes private initiatives through provisions in the tax code, including a tax credit for research and experimentation expenditures, to catalyze the development and diffusion of technology.",Research and experimentation (R&E) expenditures can be expensed and increases in R&E expenditures are subject to a tax credit of 20 per cent of qualified expenditures over a base amount.,122.0,122.0
USA_1996_002,USA,United States,1996,1996.0,,,,,,,,explicit,high,innovation,knowledge_transfer,,,public_private,adoption,growth_supporting,"By facilitating technology adoption among SMEs, the MEP enhances productivity and innovation in the manufacturing sector.",high,Manufacturing Extension Partnership,Expansion of MEP Centres,False,implemented,The MEP has been operational and expanding its services since its inception.,high,False,2,The expansion of the MEP represents a significant effort to improve technology transfer and support for SMEs.,medium,"The Manufacturing Extension Partnership (MEP) has expanded its network of technology extension centres to assist SMEs in adopting appropriate manufacturing technologies, enhancing their competitiveness.","The Manufacturing Extension Partnership (MEP), which links universities, communities, and government through a nation-wide network of technology extension centres to help SMEs adopt appropriate manufacturing technologies, has expanded from 7 to 44 centres.",122.0,122.0
USA_2004_004,USA,United States,2004,1996.0,,,,1996.0,explicit,high,,explicit,high,innovation,innovation_instruments,,,public_private,adoption,growth_supporting,"By fostering competition, the act encourages innovation in telecommunications services and infrastructure.",high,Telecommunications Reform,Telecommunications Act of 1996,True,implemented,The act has been in force since its enactment.,high,True,3,The act represents a major overhaul of telecommunications regulation.,high,"The Telecommunications Act of 1996 aimed to spur local service competition by allowing Bell operating companies to enter long-distance services if local service was open to competition, thereby linking local and long-distance market dynamics to foster innovation.",The Telecommunications Act of 1996 began the national effort to spur local service competition.,160.0,160.0
USA_1997_003,USA,United States,1997,1997.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,private,commercialization,growth_supporting,"Facilitating connections between entrepreneurs and investors enhances the startup ecosystem, promoting innovation and economic growth.",high,Startup Support Initiative,ACE-Net,False,implemented,The ACE-Net initiative has been launched and is operational.,high,False,1,"While beneficial, this initiative is a minor adjustment to existing support mechanisms for startups.",medium,"The Small Business Administration (SBA) initiated the Angel Capital Electronic Network (ACE-Net), a nationwide Internet listing of small innovative companies aimed at facilitating connections between entrepreneurs and angel investors.","In setting up the ACE-Net, State Securities Administrators agreed to remove restrictions on inter-state trading of unregistered stocks of those companies which are on the ACE-Net.",,
USA_1997_004,USA,United States,1997,1997.0,,,,,,,,explicit,high,innovation,rd_funding,,,private,applied,growth_supporting,Funding for the application and commercialization of scientific discoveries directly supports innovation and economic growth.,high,Advanced Technology Funding,,False,implemented,The ATP has been established and is operational.,high,False,2,This program represents a significant funding initiative but does not constitute a major overhaul of the funding landscape.,medium,The Advanced Technology Program (ATP) was created to provide funding that assists US businesses in applying or commercializing new scientific discoveries.,ATP provides funding to assist US businesses to apply or commercialise new scientific discoveries.,179.0,179.0
