country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
UK,1982,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83,New measures to promote research and innovation in industry will involve additional expenditure of £20 million in 1982-83,20000.0,thousand,GBP,innovation_instruments,review,0.9,1982_UK.pdf,6,gpt-4o-mini,extract,This line explicitly mentions promoting research and innovation in industry.
UK,1987,section_total,Education and science,Education and science,Education and science,,Total expenditure for Education and science,Total expenditure for Education and science,14300.0,thousand,GBP,unclear,review,0.5,1987_UK.pdf,4,gpt-4o-mini,extract,Mixed-purpose ministry; includes non-R&D components.
UK,1989,section_total,Education and science,Education and science,Education and science,,Total for education and science,Total for education and science,18400.0,thousand,GBP,unclear,review,0.5,1989_UK.pdf,4,gpt-4o-mini,extract,Mixed-purpose ministry; includes education spending.
UK,1993,program_total,RCUK,Research Councils UK,Research Councils UK,,"Spending on the science base (basic research in science, engineering and technology funded through the Research Councils)","Spending on the science base (basic research in science, engineering and technology funded through the Research Councils)",2300.0,thousand,GBP,science_agency,include,1.0,1993_11_UK.pdf,107,gpt-4o-mini,extract,"Total includes funding for basic research in science, engineering and technology."
UK,1993,section_total,OST,Office of Science and Technology,Office of Science and Technology,,Total planned central government spending on civil science and technology,Total planned central government spending on civil science and technology,2300.0,thousand,GBP,science_agency,review,1.0,1993_11_UK.pdf,107,gpt-4o-mini,extract,"Total includes funding for basic research in science, engineering and technology."
UK,1994,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total central government spending on science and technology,Total central government spending on science and technology,6100.0,thousand,GBP,science_agency,review,1.0,1994_UK.pdf,128,gpt-4o-mini,extract,
UK,1996,line_item,DTI,Department of Trade and Industry,Department of Trade and Industry,,Increase for further and higher education including £20 million in 1997-98 for a challenge fund to finance scientific equipment,Increase for further and higher education including £20 million in 1997-98 for a challenge fund to finance scientific equipment,20000.0,thousand,GBP,innovation_instruments,review,0.9,1996_UK.pdf,114,gpt-4o-mini,extract,
UK,1996,section_total,DTI,Department of Trade and Industry,Department of Trade and Industry,,Total central government spending on Science and Technology in 1997-98,Total central government spending on Science and Technology in 1997-98,6000.0,thousand,GBP,science_agency,review,1.0,1996_UK.pdf,114,gpt-4o-mini,extract,
UK,1998,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for R&D,Total budget for R&D,,billion,GBP,science_agency,review,0.4,1998_UK.pdf,4,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,1998,program_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,University Challenge Fund,University Challenge Fund,50000.0,thousand,GBP,innovation_instruments,include,0.9,1998_UK.pdf,54,gpt-4o-mini,extract,Funding to help universities bridge the funding gap for research.
UK,1998,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,University Challenge Fund contribution,University Challenge Fund contribution,20000.0,thousand,GBP,innovation_instruments,include,0.9,1998_UK.pdf,54,gpt-4o-mini,extract,Part of the total University Challenge Fund.
UK,1999,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for R&D,Total budget for R&D,1400.0,thousand,GBP,science_agency,review,1.0,1999_UK.pdf,10,gpt-4o-mini,extract,Total includes various R&D components.
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,£100 million for basic science infrastructure,£100 million for basic science infrastructure,100000.0,thousand,GBP,research_infrastructure,review,1.0,1999_UK.pdf,10,gpt-4o-mini,extract,Funding for modern research base.
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Research and development tax credit,Research and development tax credit,100000.0,thousand,GBP,unclear,review,0.2,1999_UK.pdf,114,gpt-4o-mini,extract,
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,£25 million Science Enterprise Challenge,£25 million Science Enterprise Challenge,25000.0,thousand,GBP,innovation_instruments,review,1.0,1999_UK.pdf,45,gpt-4o-mini,extract,Funding to foster a stronger culture of scientific enterprise.
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,£50 million University Challenge scheme,£50 million University Challenge scheme,50000.0,thousand,GBP,innovation_instruments,review,1.0,1999_UK.pdf,45,gpt-4o-mini,extract,Seed funding to help exploit the commercial potential of university research.
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,£600 million Joint Infrastructure Fund,£600 million Joint Infrastructure Fund,600000.0,thousand,GBP,research_infrastructure,review,1.0,1999_UK.pdf,45,gpt-4o-mini,extract,Endowed equally by the Government and the Wellcome Trust.
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,University Challenge funding,University Challenge funding,15000.0,thousand,GBP,higher_education,include,0.9,1999_UK.pdf,46,gpt-4o-mini,extract,
UK,1999,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Venture Capital Challenge funding,Venture Capital Challenge funding,20000.0,thousand,GBP,innovation_instruments,include,0.9,1999_UK.pdf,46,gpt-4o-mini,extract,
UK,2000,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,R&D tax credit for small and medium-sized enterprises,R&D tax credit for small and medium-sized enterprises,,billion,GBP,innovation_instruments,review,0.4,2000_UK.pdf,140,gpt-4o-mini,extract,Tax credit aimed at increasing R&D investment. | no_amount
UK,2000,line_item,UKRI,UK Research and Innovation,UK Research and Innovation,,Science budget allocation,Science budget allocation,,billion,GBP,direct_rd,review,0.4,2000_UK.pdf,40,gpt-4o-mini,extract,Specific allocation for R&D activities. | no_amount
UK,2000,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for R&D,Total budget for R&D,,billion,GBP,science_agency,review,0.4,2000_UK.pdf,40,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,2000,section_total,UKRI,UK Research and Innovation,UK Research and Innovation,,Total operating budget for UKRI,Total operating budget for UKRI,,billion,GBP,science_agency,review,0.4,2000_UK.pdf,40,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Improvements to research and development tax credit,Improvements to research and development tax credit,-20000.0,thousand,GBP,direct_rd,review,0.5,2003_UK.pdf,15,gpt-4o-mini,extract,"Negative amount indicates a cost to the Exchequer. | Amount -2.000e+07 GBP out of plausible range [1e+04, 1e+11]"
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Improvements to research and development tax credit,Improvements to research and development tax credit,-40000.0,thousand,GBP,direct_rd,review,0.5,2003_UK.pdf,182,gpt-4o-mini,extract,"Amount -4.000e+07 GBP out of plausible range [1e+04, 1e+11]"
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Improvements to research and development tax credit,Improvements to research and development tax credit,-50000.0,thousand,GBP,direct_rd,review,0.5,2003_UK.pdf,182,gpt-4o-mini,extract,"Amount -5.000e+07 GBP out of plausible range [1e+04, 1e+11]"
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Industrial Strategy Challenge Fund,Industrial Strategy Challenge Fund,,billion,GBP,innovation_instruments,review,0.4,2003_UK.pdf,272,gpt-4o-mini,extract,Amount not specified in the text. | no_amount
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Science budget,Science budget,,billion,GBP,direct_rd,review,0.4,2003_UK.pdf,272,gpt-4o-mini,extract,Amount not specified in the text. | no_amount
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Strength in Places Fund,Strength in Places Fund,,billion,GBP,innovation_instruments,review,0.4,2003_UK.pdf,272,gpt-4o-mini,extract,Amount not specified in the text. | no_amount
UK,2003,program_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total Capital Budget DEL,Total Capital Budget DEL,25100.0,thousand,GBP,research_infrastructure,review,1.0,2003_UK.pdf,272,gpt-4o-mini,extract,
UK,2003,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total Resource Budget DEL,Total Resource Budget DEL,249100.0,thousand,GBP,science_agency,review,0.5,2003_UK.pdf,272,gpt-4o-mini,extract,"Amount 2.491e+11 GBP out of plausible range [1e+04, 1e+11]"
UK,2003,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Total budget for R&D and innovation,Total budget for R&D and innovation,,billion,GBP,science_agency,review,0.4,2003_UK.pdf,55,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,2003,section_total,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,"Total budget for the Department for Business, Innovation and Skills","Total budget for the Department for Business, Innovation and Skills",,billion,GBP,science_agency,review,0.4,2003_UK.pdf,6,gpt-4o-mini,extract,Total budget not specified in detail. | no_amount
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Support for R&D tax credits,Support for R&D tax credits,,billion,GBP,innovation_instruments,review,0.4,2003_UK.pdf,61,gpt-4o-mini,extract,Measures to improve the operation of R&D tax credits. | no_amount
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Funding to catalyse commercialisation of science and technology,Funding to catalyse commercialisation of science and technology,15000.0,thousand,GBP,direct_rd,include,0.9,2003_UK.pdf,62,gpt-4o-mini,extract,Funding to help catalyse this activity.
UK,2003,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Higher Education Innovation Fund (HEIF),Higher Education Innovation Fund (HEIF),187000.0,thousand,GBP,higher_education,include,0.9,2003_UK.pdf,62,gpt-4o-mini,extract,Funding for investment between 2004 and 2006.
UK,2003,line_item,,Economic and Social Research Council (ESRC),Economic and Social Research Council (ESRC),,Research budget,Research budget,17000.0,thousand,GBP,science_agency,include,1.0,2003_UK.pdf,66,gpt-4o-mini,targeted_recovery,Amount clearly stated for ESRC.
UK,2004,line_item,BIS,"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",,Commitment to increase NHS funding for R&D,Commitment to increase NHS funding for R&D,100000.0,thousand,GBP,direct_rd,review,0.8,2004_UK.pdf,12,gpt-4o-mini,extract,Funding to support the UK Clinical Research Collaboration.
UK,2004,program_total,UKRI,UK Research and Innovation,UK Research and Innovation,,Industrial Strategy Challenge Fund,Industrial Strategy Challenge Fund,400000.0,thousand,GBP,innovation_instruments,review,0.8,2004_UK.pdf,12,gpt-4o-mini,extract,Funding aimed at boosting industrial R&D.
UK,2004,program_total,UKRI,UK Research and Innovation,UK Research and Innovation,,Science budget allocation,Science budget allocation,500000.0,thousand,GBP,direct_rd,include,0.8,2004_UK.pdf,12,gpt-4o-mini,extract,Specific allocation for science-related research.
