reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,event_id,n_mentions,mention_survey_years,mention_ids
AUS_1994_001,AUS,Australia,1994,1992.0,1992.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The tax concession and increased funding are designed to enhance R&D activities, which can lead to higher productivity and innovation.",high,R&D Tax Incentives and Funding,R&D Tax Concession,True,implemented,The tax concession and funding measures have been reaffirmed and are currently in effect.,high,True,3,The introduction of a significant tax concession and increased public funding represents a major reform in R&D policy.,high,"The Government has introduced a 150 per cent tax concession for R&D to stimulate research and development activities, alongside increased spending on public infrastructure projects and tax incentives to encourage investment, including accelerated depreciation allowances for plant and equipment.","The budget included increased spending on public infrastructure projects and labour market programmes. Taxation measures included the introduction of new royalty withholding tax arrangements, the extension of the Fringe Benefits Tax to include employer provided parking and the maintenance of the 150 per cent write off for eligible research and development expenditure.",,,EVT_AUS_1992_0001,2,"1994,1997","AUS_1994_001,AUS_1997_002"
AUS_1997_001,AUS,Australia,1997,1997.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"Increased funding for R&D is expected to enhance research capabilities and innovation, contributing positively to economic growth.",high,Increased R&D Funding,Higher Education R&D Funding,True,implemented,The funding programme has been successfully introduced and is currently in operation.,high,True,3,The significant increase in funding represents a structural change in public investment in R&D.,high,"The Australian government has significantly increased funding for research in higher education institutions, tripling it from A$ 480 million in 1983/84 to an estimated A$ 1.5 billion in 1995/96. Additionally, a new R&D funding programme called START has been introduced, allocating A$ 340 million over four years in competitive grants to support research and development.",Government funding for research in higher education institutions tripled from A$ 480 million in 1983/84 to an estimated A$ 1.5 billion in 1995/96.,119.0,119.0,EVT_AUS_1997_0006,1,1997,AUS_1997_001
AUS_1998_002,AUS,Australia,1998,1998.0,1998.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"These reforms aim to enhance the availability of capital for innovative firms, thereby fostering entrepreneurship and economic growth.",high,Startup Ecosystem Reforms,Venture Capital and Funding Initiatives,True,implemented,The reforms have been successfully implemented and are operational.,high,True,3,The reforms represent significant structural changes aimed at improving the startup ecosystem and access to funding.,high,"The Innovation Investment Fund programme (IIF) was established to create early-stage venture capital funds that focus on commercialising R&D, with the Australian Government contributing A$130 million to leverage private sector investment. Additionally, the Pooled Development Funds (PDFs) programme was initiated to increase the supply of patient equity capital to small and medium-sized enterprises (SMEs) through tax incentives and support. Furthermore, proposals under the Corporate Law Economic Reform Program were released to facilitate capital raising by SMEs, allowing companies to raise up to A$2 million each year from up to 20 persons without issuing a prospectus.",The Government has also recently released proposals under the Corporate Law Economic Reform Program aimed at facilitating capital raising by small and medium enterprises.,145.0,145.0,EVT_AUS_1998_0008,2,1998,"AUS_1998_002,AUS_1998_003"
AUS_2001_002,AUS,Australia,2001,2000.0,2001.0,explicit,high,,,,,inferred,medium,innovation,human_capital,,,public,basic,growth_supporting,"By increasing the number of skilled graduates in critical fields, the reform aims to enhance the innovation capacity of the workforce, which can lead to higher productivity and economic growth.",high,Backing Australia's Ability,Targeted University Places Funding,False,announced,Funding is to be provided for additional targeted university places each year.,high,False,2,"This initiative represents a significant investment in human capital aimed at fostering innovation, particularly in key technological and scientific fields.",medium,"Australia's innovation system is supported by funding for additional targeted university places, prioritizing programs in ICT, mathematics, and science to enhance foundational skills necessary for successful innovation.","Funding is also to be provided for 2000 additional targeted university places each year with priority on programmes in the areas of ICT, mathematics and science.",108.0,108.0,EVT_AUS_2000.0_1597,1,2001,AUS_2001_002
AUS_2001_003,AUS,Australia,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"Increases public investment in R&D, which can enhance innovation capacity and economic growth.",high,Backing Australia’s Ability programme,,False,implemented,The programme was launched to address weaknesses in R&D and innovation.,high,True,3,"This programme represents a significant commitment to enhancing Australia's R&D infrastructure and funding, which is crucial for long-term economic growth and innovation.",high,"The Backing Australia’s Ability programme, launched in January 2001, aims to provide a comprehensive and integrated package to boost infrastructure and research funding, addressing barriers to innovation in Australia.","The Backing Australia’s Ability programme, launched in January 2001, is designed to provide a comprehensive and integrated package boosting infrastructure and research funding.",,,EVT_AUS_2000_0009,2,2001,"AUS_2001_001,AUS_2001_003"
AUS_2003_003,AUS,Australia,2003,2001.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"The tax rebate incentivizes small businesses to invest in R&D, which can lead to innovation and economic growth.",high,R&D Offset Scheme,R&D Offset scheme,False,implemented,The scheme has been operational since its introduction in 2001.,high,True,3,The R&D Offset scheme is a major reform aimed at boosting R&D investment among small businesses.,high,"The Government introduced the R&D Offset scheme as the principal support mechanism to increase R&D performed by small businesses in Australia, providing a tax rebate for R&D expenditure.",The R&D Offset scheme is available to all companies with an annual turnover of less than A$5million.,231.0,231.0,EVT_AUS_2001_0010,1,2003,AUS_2003_003
AUS_2012_003,AUS,Australia,2012,2011.0,,,,2011.0,explicit,high,,explicit,high,innovation,sectoral_rd,,,public_private,applied,growth_supporting,Investing in renewable energy and clean technologies is expected to drive innovation and create jobs in the green sector.,high,Clean Energy Innovation,,False,implemented,The Clean Energy Legislative Package and the Clean Energy Futures Plan have been adopted and are in force.,high,True,3,These reforms represent a significant commitment to green innovation and investment in the renewable energy sector.,high,"The Clean Energy Legislative Package and the Clean Energy Futures Plan were adopted to promote innovation, commercialization, and investment in renewable energies and energy efficiency. The Clean Energy Finance Corporation is set to invest AUD 10 billion in renewable energy and clean technologies, supporting green innovation.","The Clean Energy Futures Plan, aiming to boost green innovation, is another welcome initiative towards new commercialisation activity.",118.0,118.0,EVT_AUS_2011_0023,1,2012,AUS_2012_003
AUS_2012_004,AUS,Australia,2012,2012.0,2012.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,commercialization,growth_supporting,"These reforms are designed to enhance the financial viability of SMEs and startups, promoting innovation and economic growth.",high,SME and Startup Support,Corporate Loss Carry-Back Reform,False,implemented,"Both reforms have been implemented, providing immediate financial relief and support for innovation.",high,True,3,The transition to a tax credit system for R&D represents a major reform in how innovation is supported financially.,high,"The Australian Government introduced a corporate loss carry-back reform, allowing firms to offset current-year losses against previously taxed profits, which is particularly beneficial for SMEs and innovative startups facing new challenges. Additionally, the R&D tax regime was transitioned from tax deductions to a tax credit, significantly increasing assistance rates for smaller firms and expanding access to foreign companies.","The corporate loss carry-back reform will not only have beneficial effects on the level and quality of capital investment, but...may also bolster the automatic stabilisers in the economy.",79.0,80.0,EVT_AUS_2012_0024,2,2012,"AUS_2012_004,AUS_2012_005"
AUS_2012_001,AUS,Australia,2012,2012.0,2012.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,public_private,applied,growth_supporting,Enhancing collaboration between researchers and businesses is expected to lead to increased innovation and productivity.,high,Innovation Collaboration Enhancement,Innovation Vouchers and Collaboration Programmes,True,announced,"The government is considering the provision of innovation vouchers and has set targets for collaboration, indicating these reforms are in the planning stage.",high,False,2,"The reform aims to significantly improve collaboration in the innovation system, which is a critical area for enhancing innovation performance.",medium,"The Australian government is considering the provision of well-designed innovation vouchers to facilitate effective connections between researchers and businesses, while also implementing programmes to support collaboration and networking between universities and businesses to enhance their impact on innovation. Additionally, the government has set a target to double the level of collaboration between researchers and businesses over the next decade, addressing the critical weakness of low collaboration in the innovation system.","Consideration should be given, fiscal savings allowing, to further measures to increase collaboration between researchers and business, such as the provision of well-designed innovation vouchers.",45.0,45.0,EVT_AUS_2012.0_1599,1,2012,AUS_2012_001
AUS_2017_023,AUS,Australia,2017,2016.0,2015.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"The fund aims to enhance the commercialization of research, fostering innovation and productivity in the startup sector.",high,CSIRO Innovation Fund,,False,implemented,The fund was launched at the end of 2016 to support early-stage commercialization.,high,True,3,"The establishment of the CSIRO Innovation Fund represents a significant investment in the commercialization of research, which is crucial for enhancing Australia's innovation ecosystem.",high,"The CSIRO Innovation Fund was launched to support early-stage commercialization of research from CSIRO and other institutions, with a focus on co-investment in new spin-off and start-up companies.","A new fund (the CSIRO Innovation Fund), announced as part of NISA, was launched at end-2016 by the government to support early stage commercialisation of research from CSIRO, other research institutions and universities.",48.0,48.0,EVT_AUS_2016_0027,3,2017,"AUS_2017_005,AUS_2017_023,AUS_2017_009"
