canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Science and Technology Innovation Programme,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2025, 2025)",This entry indicates a focus on innovation and technology.,rd_programme,0.7,"science and technology, growing innovative and",1,1958419.0,confidence below threshold,Australia
"Science, Technology and Commercialisation",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2022, 2024)","This entity focuses on science and technology, indicating R&D relevance.",rd_programme,0.7,"science, technology and commercialisation,",2,1499626.0,confidence below threshold,Australia
Creative Australia,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2025, 2026)","This program supports innovation in the creative sector, which includes R&D.",rd_programme,0.6,Total: Creative Australia,2,235727.0,confidence below threshold,Australia
Use of Australia's Water Resources,science_agency,[],"['section_total', 'program_total', 'line_item']","(2024, 2025)",This program likely involves R&D related to water resource management.,rd_programme,0.6,use of Australia's water resources,2,212924.0,confidence below threshold,Australia
Mental Health Improvement Program,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2007, 2007)",This program likely involves research into mental health improvements.,rd_programme,0.7,Mental Health - Improved mental health,1,108976.0,confidence below threshold,Australia
Technology Organisation,science_agency,[],"['section_total', 'program_total', 'line_item']","(2003, 2003)",This organization is likely focused on technology-related R&D.,dedicated_rd_agency,0.6,Technology Organisation,1,104068.0,confidence below threshold,Australia
Sustainable Agricultural and Food Industries Program,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)","This program aims to enhance sustainability and competitiveness, indicating R&D relevance.",rd_programme,0.7,"More sustainable, competitive and profitable Australian agricultural, food, fisheries and forestry industries",1,48330.0,confidence below threshold,Australia
Research Excellence and Providing Advice,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This initiative is directly related to research excellence.,rd_programme,0.7,research excellence and providing advice,1,36813.0,confidence below threshold,Australia
User Experience Improvement Programme,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2020, 2021)","This entity focuses on improving user experience, which can involve R&D.",rd_programme,0.7,Improve the user experience for all Australians,2,35596.666666666664,confidence below threshold,Australia
Transportation System Upgrade Assistance,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1984, 1984)","This entity involves upgrading transportation, which may include R&D.",rd_programme,0.6,Victoria—Assistance for upgrading transportation system,1,35000.0,confidence below threshold,Australia
Equity in the Australian Technology Group,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","This entity is related to funding technology initiatives, indicating R&D relevance.",rd_fund,0.6,Equity in the Australian Technology Group,1,30000.0,confidence below threshold,Australia
Science-Based Quarantine Program,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2006, 2007)",This program involves scientific research related to quarantine.,rd_programme,0.7,To provide science based quarantine,2,17832.0,confidence below threshold,Australia
Aerospace Technologies Funding,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",This payment is likely related to R&D in aerospace technologies.,rd_fund,0.6,Payments to Aerospace Technologies of Australia Aircraft Services Proprietary Limited,1,17000.0,confidence below threshold,Australia
"Research, Policy, Advice, Codes, Standards",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2022)",This entity is directly involved in research and policy development.,rd_programme,0.7,"research, policy, advice, codes, standards,",2,15303.5,confidence below threshold,Australia
Australian Defence Industries Ltd,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1993)",This entity is likely involved in defense-related R&D activities.,rd_programme,0.7,Division 235.— AUSTRALIAN DEFENCE INDUSTRIES LTD,2,14158.0975,confidence below threshold,Australia
Commonwealth University Scholarships,higher_education,[],"['section_total', 'program_total', 'line_item']","(1975, 1975)","This program supports higher education, which is relevant to R&D.",higher_education,0.7,Commonwealth University Scholarships—Tuition fees and living allowances,1,11978.732,confidence below threshold,Australia
Australians Value Science and Technology,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2003, 2003)","This program indicates a focus on science and technology, relevant to R&D.",rd_programme,0.7,Australians value science and technology’s,1,6975.0,confidence below threshold,Australia
Australian Maritime College,higher_education,[],"['section_total', 'program_total', 'line_item']","(1983, 1983)","This college is involved in maritime education and research, relevant to R&D.",higher_education,0.7,1.—For expenditure under the Australian Maritime College,1,3543.1,confidence below threshold,Australia
Aboriginal Rural Resource Initiative,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1996, 1996)",This initiative likely supports research and development in rural resources for Aboriginal communities.,rd_programme,0.7,Aboriginal rural resource initiative,1,3327.0,confidence below threshold,Australia
National Office of Overseas Skills Recognition - Innovative Grants,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)",These grants may support innovative projects related to skills recognition.,rd_fund,0.6,National Office of Overseas Skills Recognition — innovative grants,1,3295.528,confidence below threshold,Australia
Subsidy for Cultivation Machines and Equipment,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This subsidy may support R&D in agricultural machinery and equipment.,rd_programme,0.5,"Subsidy, and advances on account of subsidy, under the Subsidy (Cultivation Machines and Equipment) Act 1986",1,3265.433,confidence below threshold,Australia
